frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode3_maximum_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode5_maximum_flow_time,Dynamic_njobs100_mode6_maximum_flow_time
256,59765.410665,59765.410665,59765.410665,59765.410665,59765.410665,59765.410665,19363.000000,19363.000000,19363.000000,19363.000000,19363.000000,19363.000000
32768,174098.945982,174079.586713,174079.586713,174079.586713,174079.586713,174079.586713,70455.000000,70455.000000,70455.000000,70455.000000,70455.000000,70455.000000
2,115652.238266,115652.238266,115652.238266,115652.238266,115652.238266,115652.238266,85133.000000,85133.000000,85133.000000,85133.000000,85133.000000,85133.000000
2048,89012.396159,89012.396159,89012.396159,89012.396159,89012.396159,89012.396159,35629.000000,35629.000000,35629.000000,35629.000000,35629.000000,35629.000000
4,143938.860837,143938.860837,143938.860837,143938.860837,143938.860837,143938.860837,110136.000000,110136.000000,110136.000000,110136.000000,110136.000000,110136.000000
8,262656.535843,200344.489128,200344.489128,200344.489128,200344.489128,200344.489128,76306.000000,141484.000000,141484.000000,141484.000000,141484.000000,141484.000000
512,146916.601506,146916.601506,146916.601506,146916.601506,146916.601506,146916.601506,67784.000000,67784.000000,67784.000000,67784.000000,67784.000000,67784.000000
16384,159385.590748,159385.590748,159385.590748,159385.590748,159385.590748,159385.590748,84517.000000,84517.000000,84517.000000,84517.000000,84517.000000,84517.000000
4096,176503.565975,176503.565975,176503.565975,176503.565975,176503.565975,176503.565975,80881.000000,80881.000000,80881.000000,80881.000000,80881.000000,80881.000000
32,257395.331102,257395.331102,257395.331102,257395.331102,257395.331102,257395.331102,200795.000000,200795.000000,200795.000000,200795.000000,200795.000000,200795.000000
8192,327678.034715,327678.034715,327678.034715,327678.034715,327678.034715,327678.034715,225362.000000,225362.000000,225362.000000,225362.000000,225362.000000,225362.000000
16,279589.315393,279589.315393,279589.315393,279589.315393,279589.315393,279589.315393,232394.000000,232394.000000,232394.000000,232394.000000,232394.000000,232394.000000
65536,315154.090107,315154.090107,315154.090107,315154.090107,315154.090107,315154.090107,141700.000000,141700.000000,141700.000000,141700.000000,141700.000000,141700.000000
1024,351765.157702,351765.157702,351765.157702,351765.157702,351765.157702,351765.157702,201481.000000,201481.000000,201481.000000,201481.000000,201481.000000,201481.000000
64,350564.862623,350564.862623,350564.862623,350564.862623,350564.862623,350564.862623,297712.000000,297712.000000,297712.000000,297712.000000,297712.000000,297712.000000
128,807255.006742,398188.313523,398188.313523,398188.313523,398188.313523,398188.313523,224922.000000,247240.000000,247240.000000,247240.000000,247240.000000,247240.000000
