frequency,Dynamic_njobs50_mode0_L2_norm_flow_time,Dynamic_njobs50_mode1_L2_norm_flow_time,Dynamic_njobs50_mode2_L2_norm_flow_time,Dynamic_njobs50_mode4_L2_norm_flow_time,Dynamic_njobs50_mode8_L2_norm_flow_time,Dynamic_njobs50_mode16_L2_norm_flow_time,Dynamic_njobs50_mode0_maximum_flow_time,Dynamic_njobs50_mode1_maximum_flow_time,Dynamic_njobs50_mode2_maximum_flow_time,Dynamic_njobs50_mode4_maximum_flow_time,Dynamic_njobs50_mode8_maximum_flow_time,Dynamic_njobs50_mode16_maximum_flow_time
2,94591.409621,96972.924793,94629.499016,94591.409621,94591.409621,94591.409621,42415.000000,35099.000000,42415.000000,42415.000000,42415.000000,42415.000000
4096,628555.326060,656361.709838,628503.049317,628555.326060,628555.326060,628555.326060,191571.000000,159025.000000,191571.000000,191571.000000,191571.000000,191571.000000
8,242905.023711,241272.342213,241263.294575,242905.023711,242905.023711,242905.023711,111416.000000,111416.000000,111416.000000,111416.000000,111416.000000,111416.000000
1024,232276.555883,252390.678556,231088.709123,231230.896599,232276.555883,232276.555883,87026.000000,87026.000000,87026.000000,87026.000000,87026.000000,87026.000000
4,321468.739763,310276.902843,321468.739763,321468.739763,321468.739763,321468.739763,201369.000000,99094.000000,201369.000000,201369.000000,201369.000000,201369.000000
128,337967.792047,308862.623381,337967.792047,337967.792047,337967.792047,337967.792047,242152.000000,131363.000000,242152.000000,242152.000000,242152.000000,242152.000000
256,426782.277010,422400.119182,409740.480934,426782.277010,426782.277010,426782.277010,224409.000000,155334.000000,171007.000000,224409.000000,224409.000000,224409.000000
8192,368924.151108,391710.310962,368850.220267,368256.735853,368924.151108,368924.151108,141445.000000,123737.000000,141445.000000,141445.000000,141445.000000,141445.000000
32,405223.452523,429221.785846,403764.673266,404028.255151,405223.452523,405223.452523,198444.000000,112513.000000,198444.000000,198444.000000,198444.000000,198444.000000
512,589452.534844,580175.206837,589452.747665,589452.534844,589452.534844,589452.534844,259114.000000,259114.000000,259114.000000,259114.000000,259114.000000,259114.000000
16,467416.723366,444932.012993,459865.768229,467416.723366,467416.723366,467416.723366,280670.000000,234582.000000,267542.000000,280670.000000,280670.000000,280670.000000
65536,1259994.072903,1258496.199998,1274692.418532,1272810.377110,1259994.072903,1259994.072903,182881.000000,156150.000000,158906.000000,166767.000000,182881.000000,182881.000000
2048,671307.607495,644281.768046,638480.195375,671307.607495,671307.607495,671307.607495,288222.000000,155369.000000,283203.000000,288222.000000,288222.000000,288222.000000
16384,552053.362228,560367.796284,546377.121431,552053.362228,552053.362228,552053.362228,238763.000000,183641.000000,210096.000000,238763.000000,238763.000000,238763.000000
64,569092.470905,614609.678985,569092.470905,569092.470905,569092.470905,569092.470905,301845.000000,214045.000000,301845.000000,301845.000000,301845.000000,301845.000000
32768,638818.055771,639838.873337,638818.055771,638818.055771,638818.055771,638818.055771,281670.000000,229861.000000,281670.000000,281670.000000,281670.000000,281670.000000
