frequency,Dynamic_njobs25_mode0_L2_norm_flow_time,Dynamic_njobs25_mode1_L2_norm_flow_time,Dynamic_njobs25_mode2_L2_norm_flow_time,Dynamic_njobs25_mode4_L2_norm_flow_time,Dynamic_njobs25_mode8_L2_norm_flow_time,Dynamic_njobs25_mode16_L2_norm_flow_time,Dynamic_njobs25_mode0_maximum_flow_time,Dynamic_njobs25_mode1_maximum_flow_time,Dynamic_njobs25_mode2_maximum_flow_time,Dynamic_njobs25_mode4_maximum_flow_time,Dynamic_njobs25_mode8_maximum_flow_time,Dynamic_njobs25_mode16_maximum_flow_time
1024,153634.316762,264088.136085,266776.576935,228022.125253,201552.599122,152706.941630,77749.000000,27033.000000,29411.000000,50702.000000,53836.000000,77749.000000
128,202971.652358,334588.048117,296906.787607,295729.594023,218209.701654,202971.652358,155799.000000,42876.000000,76229.000000,95126.000000,130277.000000,155799.000000
16384,695863.943789,1454585.043830,1456889.064101,1426445.199245,1409011.857452,1403549.741695,288098.000000,88987.000000,110963.000000,110963.000000,110963.000000,110963.000000
16,342257.639238,678211.349963,573322.113850,347865.785393,342257.639238,342257.639238,169488.000000,85303.000000,124736.000000,155801.000000,169488.000000,169488.000000
2048,372671.174042,741781.397272,735311.621463,712585.946875,572327.011685,417718.947113,212308.000000,68812.000000,72984.000000,83960.000000,96773.000000,145245.000000
256,271036.348275,618696.183772,404875.191429,375160.761592,269891.821921,271036.348275,124254.000000,54144.000000,77693.000000,80821.000000,124254.000000,124254.000000
2,82888.784796,105808.270934,92071.721625,82273.880333,82888.784796,82888.784796,46454.000000,27534.000000,46454.000000,46454.000000,46454.000000,46454.000000
32768,898354.643645,2296179.517694,2208612.182492,2303065.013897,2302921.283469,2275573.263323,200129.000000,72635.000000,82745.000000,74195.000000,74195.000000,75340.000000
32,346342.883715,506405.935638,392509.793669,369006.656767,319685.282087,346342.883715,296020.000000,64904.000000,72745.000000,133021.000000,171165.000000,296020.000000
4096,229789.432233,311856.541607,313993.474411,306738.045989,286596.233187,276874.386042,78395.000000,38293.000000,37918.000000,39365.000000,47674.000000,55066.000000
4,131833.278375,362577.381148,303504.916909,254249.939872,218244.602130,131833.278375,88025.000000,36186.000000,53429.000000,56878.000000,88025.000000,88025.000000
512,171167.633634,487187.450434,365086.918843,368800.246562,361592.354683,325448.233214,85609.000000,41649.000000,65136.000000,65136.000000,78431.000000,85609.000000
64,120900.608493,155216.601722,133044.600958,127520.440193,143295.211319,122061.981313,67104.000000,30138.000000,56132.000000,59273.000000,58762.000000,60458.000000
65536,2011640.090653,2027857.864879,1995342.775540,1988950.029529,1990240.315358,1988355.527991,224158.000000,137557.000000,148069.000000,148069.000000,148069.000000,148069.000000
8192,384838.348491,1656594.890506,1508506.038458,1472905.288496,1419320.751314,1552985.588789,209842.000000,115280.000000,134883.000000,134883.000000,140310.000000,134883.000000
8,156689.248693,367682.958030,307531.580754,252425.349779,223108.495069,156689.248693,129179.000000,49573.000000,56739.000000,79919.000000,79919.000000,129179.000000
