frequency,Dynamic_njobs200_mode0_L2_norm_flow_time,Dynamic_njobs200_mode1_L2_norm_flow_time,Dynamic_njobs200_mode2_L2_norm_flow_time,Dynamic_njobs200_mode4_L2_norm_flow_time,Dynamic_njobs200_mode8_L2_norm_flow_time,Dynamic_njobs200_mode16_L2_norm_flow_time,Dynamic_njobs200_mode0_maximum_flow_time,Dynamic_njobs200_mode1_maximum_flow_time,Dynamic_njobs200_mode2_maximum_flow_time,Dynamic_njobs200_mode4_maximum_flow_time,Dynamic_njobs200_mode8_maximum_flow_time,Dynamic_njobs200_mode16_maximum_flow_time
1024,396681.446429,843859.825997,891719.179026,696647.032964,396681.446429,396681.446429,213261.000000,102457.000000,104320.000000,121882.000000,213261.000000,213261.000000
128,317727.986496,375493.562749,383255.845036,345993.908341,317727.986496,317727.986496,129762.000000,93439.000000,129762.000000,129762.000000,129762.000000,129762.000000
16384,1295347.997379,1338261.777126,1323672.804538,1303478.505441,1288774.458490,1295347.997379,177508.000000,160382.000000,160382.000000,160382.000000,160382.000000,177508.000000
16,227814.472517,227814.472517,227814.472517,227814.472517,227814.472517,227814.472517,138494.000000,138494.000000,138494.000000,138494.000000,138494.000000,138494.000000
2048,486028.773231,924841.561900,939653.833136,885190.154211,627724.112899,486028.773231,212625.000000,147680.000000,147680.000000,147680.000000,201471.000000,212625.000000
256,386372.798735,437833.327484,386372.798735,386372.798735,386372.798735,386372.798735,208347.000000,192394.000000,208347.000000,208347.000000,208347.000000,208347.000000
2,139715.912945,139715.912945,139715.912945,139715.912945,139715.912945,139715.912945,106250.000000,106250.000000,106250.000000,106250.000000,106250.000000,106250.000000
32768,1111483.813538,901449.066426,896769.383922,895391.507863,951685.625032,993599.287365,17591.000000,89336.000000,89336.000000,89336.000000,89336.000000,89336.000000
32,195986.764229,196259.346812,196369.394359,195986.764229,195986.764229,195986.764229,74149.000000,74149.000000,74149.000000,74149.000000,74149.000000,74149.000000
4096,404665.277329,491686.388108,478467.334680,455073.805311,485343.116498,401974.630323,165821.000000,86041.000000,86041.000000,88059.000000,88059.000000,151376.000000
4,203110.503539,203110.503539,203110.503539,203110.503539,203110.503539,203110.503539,139255.000000,139255.000000,139255.000000,139255.000000,139255.000000,139255.000000
512,176190.106255,239857.544497,214408.441242,213698.587915,176190.106255,176190.106255,76795.000000,63731.000000,69693.000000,75779.000000,76795.000000,76795.000000
64,377235.423647,377235.423647,377235.423647,377235.423647,377235.423647,377235.423647,263172.000000,263172.000000,263172.000000,263172.000000,263172.000000,263172.000000
65536,3950407.068010,3950407.068010,3950407.068010,3950407.068010,3950407.068010,3950407.068010,66866.000000,66866.000000,66866.000000,66866.000000,66866.000000,66866.000000
8192,424417.388446,440421.356069,426759.382426,424417.388446,424417.388446,424417.388446,117523.000000,117523.000000,117523.000000,117523.000000,117523.000000,117523.000000
8,134230.018062,134230.018062,134230.018062,134230.018062,134230.018062,134230.018062,50097.000000,50097.000000,50097.000000,50097.000000,50097.000000,50097.000000
