arrival_rate,bp_parameter_L,bp_parameter_H,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time
38,100.000000,50,8660035.794928,8660035.794928,8660035.794928,8660035.794928,8660035.794928,8660035.794928,8660035.794928,8660035.794928
38,500.000000,200,58225103.602903,58225103.602903,58225103.602903,58225103.602903,58225103.602903,58225103.602903,58225103.602903,58225103.602903
38,2000.000000,800,242227089.946604,242227089.946604,242227089.946604,242227089.946604,242227089.946604,242227089.946604,242227089.946604,242227089.946604
38,8.500000,262144,13336354.305119,13346680.969385,13346680.969385,13346680.969385,13346680.969385,13346680.969385,13346680.969385,13346680.969385
38,12.400000,4096,36521689.576775,36443859.381956,36461055.124846,36461055.124846,36461055.124846,36461055.124846,36461055.124846,36461055.124846
38,9.800000,32768,22846026.166081,22846026.166081,22846026.166081,22846026.166081,22846026.166081,22846026.166081,22846026.166081,22846026.166081
38,18.900000,512,73259717.844018,73348595.999073,73348595.999073,73348595.999073,73348595.999073,73348595.999073,73348595.999073,73348595.999073
38,60.000000,24,103295557.979773,104663886.709507,104663886.709507,104663886.709507,104663886.709507,104663886.709507,104663886.709507,104663886.709507
38,60.000000,18,103725075.600200,103725075.600200,103725075.600200,103725075.600200,103725075.600200,103725075.600200,103725075.600200,103725075.600200
38,60.000000,12,101698223.683297,101698223.683297,101698223.683297,101698223.683297,101698223.683297,101698223.683297,101698223.683297,101698223.683297
38,56.300000,64,102094101.684021,102094101.684021,102094101.684021,102094101.684021,102094101.684021,102094101.684021,102094101.684021,102094101.684021
