frequency,Dynamic_njobs50_mode0_L2_norm_flow_time,Dynamic_njobs50_mode0_maximum_flow_time,Dynamic_njobs50_mode1_L2_norm_flow_time,Dynamic_njobs50_mode1_maximum_flow_time,Dynamic_njobs50_mode2_L2_norm_flow_time,Dynamic_njobs50_mode2_maximum_flow_time,Dynamic_njobs50_mode4_L2_norm_flow_time,Dynamic_njobs50_mode4_maximum_flow_time,Dynamic_njobs50_mode8_L2_norm_flow_time,Dynamic_njobs50_mode8_maximum_flow_time,Dynamic_njobs50_mode16_L2_norm_flow_time,Dynamic_njobs50_mode16_maximum_flow_time
2,229853.904435,4219.000000,230209.842783,4677.000000,229853.904435,4219.000000,229853.904435,4219.000000,229853.904435,4219.000000,229853.904435,4219.000000
16,785917.584250,13842.000000,785055.817015,13842.000000,785917.584250,13842.000000,785917.584250,13842.000000,785917.584250,13842.000000,785917.584250,13842.000000
4,667154.872816,12163.000000,665788.951467,12163.000000,667154.872816,12163.000000,667154.872816,12163.000000,667154.872816,12163.000000,667154.872816,12163.000000
1024,850343.734223,13094.000000,842351.508150,15253.000000,850037.953120,13094.000000,850343.734223,13094.000000,850343.734223,13094.000000,850343.734223,13094.000000
256,1073385.155636,21165.000000,1064808.327415,21165.000000,1070548.989507,21165.000000,1073385.155636,21165.000000,1073385.155636,21165.000000,1073385.155636,21165.000000
64,694581.077594,13214.000000,691505.852899,13214.000000,694581.077594,13214.000000,694581.077594,13214.000000,694581.077594,13214.000000,694581.077594,13214.000000
128,923688.911443,16921.000000,920262.250932,17347.000000,923688.911443,16921.000000,923688.911443,16921.000000,923688.911443,16921.000000,923688.911443,16921.000000
8,682683.522960,12000.000000,682121.916373,12000.000000,682683.522960,12000.000000,682683.522960,12000.000000,682683.522960,12000.000000,682683.522960,12000.000000
4096,1709201.103095,27070.000000,1690169.571436,28167.000000,1696266.320666,28128.000000,1709201.103095,27070.000000,1709201.103095,27070.000000,1709201.103095,27070.000000
32,627112.600963,10890.000000,626177.749867,10890.000000,627112.600963,10890.000000,627112.600963,10890.000000,627112.600963,10890.000000,627112.600963,10890.000000
8192,1912225.218222,31037.000000,1863019.607944,33594.000000,1893149.965530,31037.000000,1912225.218222,31037.000000,1912225.218222,31037.000000,1912225.218222,31037.000000
2048,1018302.736177,18927.000000,1009514.403819,19311.000000,1014329.075093,18927.000000,1018302.736177,18927.000000,1018302.736177,18927.000000,1018302.736177,18927.000000
512,1221655.342502,21571.000000,1209025.437033,21571.000000,1221655.342502,21571.000000,1221655.342502,21571.000000,1221655.342502,21571.000000,1221655.342502,21571.000000
65536,2644767.442276,45804.000000,2618636.049415,45804.000000,2644767.126025,45804.000000,2644767.126025,45804.000000,2644767.442276,45804.000000,2644767.442276,45804.000000
16384,2068886.122372,32155.000000,2055307.214375,33758.000000,2067772.133049,32155.000000,2068886.122372,32155.000000,2068886.122372,32155.000000,2068886.122372,32155.000000
32768,4330979.897523,78564.000000,4316068.856093,78564.000000,4330979.897523,78564.000000,4330979.897523,78564.000000,4330979.897523,78564.000000,4330979.897523,78564.000000
