frequency,Dynamic_njobs200_mode0_L2_norm_flow_time,Dynamic_njobs200_mode0_maximum_flow_time,Dynamic_njobs200_mode1_L2_norm_flow_time,Dynamic_njobs200_mode1_maximum_flow_time,Dynamic_njobs200_mode2_L2_norm_flow_time,Dynamic_njobs200_mode2_maximum_flow_time,Dynamic_njobs200_mode4_L2_norm_flow_time,Dynamic_njobs200_mode4_maximum_flow_time,Dynamic_njobs200_mode8_L2_norm_flow_time,Dynamic_njobs200_mode8_maximum_flow_time,Dynamic_njobs200_mode16_L2_norm_flow_time,Dynamic_njobs200_mode16_maximum_flow_time
1024,834002.613586,16073.000000,834002.613586,16073.000000,834002.613586,16073.000000,834002.613586,16073.000000,834002.613586,16073.000000,834002.613586,16073.000000
8,417006.064276,9456.000000,417006.064276,9456.000000,417006.064276,9456.000000,417006.064276,9456.000000,417006.064276,9456.000000,417006.064276,9456.000000
16,828930.454176,15250.000000,828930.454176,15250.000000,828930.454176,15250.000000,828930.454176,15250.000000,828930.454176,15250.000000,828930.454176,15250.000000
2,440370.829655,7963.000000,440370.829655,7963.000000,440370.829655,7963.000000,440370.829655,7963.000000,440370.829655,7963.000000,440370.829655,7963.000000
32,615353.126761,11808.000000,615353.126761,11808.000000,615353.126761,11808.000000,615353.126761,11808.000000,615353.126761,11808.000000,615353.126761,11808.000000
2048,700163.621793,13022.000000,700163.621793,13022.000000,700163.621793,13022.000000,700163.621793,13022.000000,700163.621793,13022.000000,700163.621793,13022.000000
65536,468075.574382,12267.000000,468075.574382,12267.000000,468075.574382,12267.000000,468075.574382,12267.000000,468075.574382,12267.000000,468075.574382,12267.000000
4,739188.520317,11417.000000,739188.520317,11417.000000,739188.520317,11417.000000,739188.520317,11417.000000,739188.520317,11417.000000,739188.520317,11417.000000
128,797103.001156,13187.000000,797103.001156,13187.000000,797103.001156,13187.000000,797103.001156,13187.000000,797103.001156,13187.000000,797103.001156,13187.000000
32768,1364374.836605,31997.000000,1364374.836605,31997.000000,1364374.836605,31997.000000,1364374.836605,31997.000000,1364374.836605,31997.000000,1364374.836605,31997.000000
4096,799779.250231,14408.000000,799779.250231,14408.000000,799779.250231,14408.000000,799779.250231,14408.000000,799779.250231,14408.000000,799779.250231,14408.000000
16384,1394463.296743,26613.000000,1394463.296743,26613.000000,1394463.296743,26613.000000,1394463.296743,26613.000000,1394463.296743,26613.000000,1394463.296743,26613.000000
256,1071588.570378,18026.000000,1071588.570378,18026.000000,1071588.570378,18026.000000,1071588.570378,18026.000000,1071588.570378,18026.000000,1071588.570378,18026.000000
512,1118217.866798,20921.000000,1118217.866798,20921.000000,1118217.866798,20921.000000,1118217.866798,20921.000000,1118217.866798,20921.000000,1118217.866798,20921.000000
64,1025606.239678,16574.000000,1025606.239678,16574.000000,1025606.239678,16574.000000,1025606.239678,16574.000000,1025606.239678,16574.000000,1025606.239678,16574.000000
8192,2487317.496214,34647.000000,2487317.496214,34647.000000,2487317.496214,34647.000000,2487317.496214,34647.000000,2487317.496214,34647.000000,2487317.496214,34647.000000
