frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
8,456745.660610,456745.660610,456745.660610,456745.660610,456745.660610,456745.660610
4,484311.002854,484311.002854,484311.002854,484311.002854,484311.002854,484311.002854
2,503330.233978,503330.233978,503330.233978,503330.233978,503330.233978,503330.233978
64,641112.217426,641112.217426,641112.217426,641112.217426,641112.217426,641112.217426
16,652620.511138,652620.511138,652620.511138,652620.511138,652620.511138,652620.511138
4096,745321.102131,745321.102131,745321.102131,745321.102131,745321.102131,745321.102131
32768,1631092.625788,1631092.625788,1631092.625788,1631092.625788,1631092.625788,1631092.625788
2048,716666.929002,716666.929002,716666.929002,716666.929002,716666.929002,716666.929002
1024,710886.741846,710886.741846,710886.741846,710886.741846,710886.741846,710886.741846
128,839928.258295,839928.258295,839928.258295,839928.258295,839928.258295,839928.258295
32,1211601.096611,1211601.096611,1211601.096611,1211601.096611,1211601.096611,1211601.096611
8192,1105775.614929,1105775.614929,1105775.614929,1105775.614929,1105775.614929,1105775.614929
512,1390392.837252,1390392.837252,1390392.837252,1390392.837252,1390392.837252,1390392.837252
256,1285567.580115,1285567.580115,1285567.580115,1285567.580115,1285567.580115,1285567.580115
16384,2003036.591961,2003036.591961,2003036.591961,2003036.591961,2003036.591961,2003036.591961
65536,2653239.043480,2653239.043480,2653239.043480,2653239.043480,2653239.043480,2653239.043480
