frequency,Dynamic_njobs500_mode0_L2_norm_flow_time,Dynamic_njobs500_mode0_maximum_flow_time,Dynamic_njobs500_mode1_L2_norm_flow_time,Dynamic_njobs500_mode1_maximum_flow_time,Dynamic_njobs500_mode2_L2_norm_flow_time,Dynamic_njobs500_mode2_maximum_flow_time,Dynamic_njobs500_mode4_L2_norm_flow_time,Dynamic_njobs500_mode4_maximum_flow_time,Dynamic_njobs500_mode8_L2_norm_flow_time,Dynamic_njobs500_mode8_maximum_flow_time,Dynamic_njobs500_mode16_L2_norm_flow_time,Dynamic_njobs500_mode16_maximum_flow_time
8,229660.187912,18065.000000,229660.187912,18065.000000,229660.187912,18065.000000,229660.187912,18065.000000,229660.187912,18065.000000,229660.187912,18065.000000
32,826236.887198,19106.000000,826236.887198,19106.000000,826236.887198,19106.000000,826236.887198,19106.000000,826236.887198,19106.000000,826236.887198,19106.000000
2,498654.028917,25970.000000,498654.028917,25970.000000,498654.028917,25970.000000,498654.028917,25970.000000,498654.028917,25970.000000,498654.028917,25970.000000
4,600182.189717,28874.000000,600182.189717,28874.000000,600182.189717,28874.000000,600182.189717,28874.000000,600182.189717,28874.000000,600182.189717,28874.000000
4096,1322833.937631,23798.000000,1322833.937631,23798.000000,1322833.937631,23798.000000,1322833.937631,23798.000000,1322833.937631,23798.000000,1322833.937631,23798.000000
1024,699699.000056,20446.000000,699699.000056,20446.000000,699699.000056,20446.000000,699699.000056,20446.000000,699699.000056,20446.000000,699699.000056,20446.000000
256,1697772.913371,27521.000000,1697772.913371,27521.000000,1697772.913371,27521.000000,1697772.913371,27521.000000,1697772.913371,27521.000000,1697772.913371,27521.000000
16,744216.172709,26772.000000,744216.172709,26772.000000,744216.172709,26772.000000,744216.172709,26772.000000,744216.172709,26772.000000,744216.172709,26772.000000
512,978460.087443,27854.000000,978460.087443,27854.000000,978460.087443,27854.000000,978460.087443,27854.000000,978460.087443,27854.000000,978460.087443,27854.000000
128,1110181.334952,27462.000000,1110181.334952,27462.000000,1110181.334952,27462.000000,1110181.334952,27462.000000,1110181.334952,27462.000000,1110181.334952,27462.000000
2048,1022119.119947,16914.000000,1022119.119947,16914.000000,1022119.119947,16914.000000,1022119.119947,16914.000000,1022119.119947,16914.000000,1022119.119947,16914.000000
65536,2777612.792325,59625.000000,2777612.792325,59625.000000,2777612.792325,59625.000000,2777612.792325,59625.000000,2777612.792325,59625.000000,2777612.792325,59625.000000
32768,1935812.487563,35881.000000,1935812.487563,35881.000000,1935812.487563,35881.000000,1935812.487563,35881.000000,1935812.487563,35881.000000,1935812.487563,35881.000000
8192,1428871.185802,28864.000000,1428871.185802,28864.000000,1428871.185802,28864.000000,1428871.185802,28864.000000,1428871.185802,28864.000000,1428871.185802,28864.000000
64,806124.118120,25868.000000,806124.118120,25868.000000,806124.118120,25868.000000,806124.118120,25868.000000,806124.118120,25868.000000,806124.118120,25868.000000
16384,1925707.619455,26633.000000,1925707.619455,26633.000000,1925707.619455,26633.000000,1925707.619455,26633.000000,1925707.619455,26633.000000,1925707.619455,26633.000000
