frequency,Dynamic_njobs500_mode0_L2_norm_flow_time,Dynamic_njobs500_mode1_L2_norm_flow_time,Dynamic_njobs500_mode2_L2_norm_flow_time,Dynamic_njobs500_mode4_L2_norm_flow_time,Dynamic_njobs500_mode8_L2_norm_flow_time,Dynamic_njobs500_mode16_L2_norm_flow_time,Dynamic_njobs500_mode0_maximum_flow_time,Dynamic_njobs500_mode1_maximum_flow_time,Dynamic_njobs500_mode2_maximum_flow_time,Dynamic_njobs500_mode4_maximum_flow_time,Dynamic_njobs500_mode8_maximum_flow_time,Dynamic_njobs500_mode16_maximum_flow_time
256,1110754.696916,1110754.696916,1110754.696916,1110754.696916,1110754.696916,1110754.696916,26925.000000,26925.000000,26925.000000,26925.000000,26925.000000,26925.000000
16,634086.753033,634086.753033,634086.753033,634086.753033,634086.753033,634086.753033,23389.000000,23389.000000,23389.000000,23389.000000,23389.000000,23389.000000
1024,1253119.071868,1253119.071868,1253119.071868,1253119.071868,1253119.071868,1253119.071868,21015.000000,21015.000000,21015.000000,21015.000000,21015.000000,21015.000000
8192,1042995.947176,1042995.947176,1042995.947176,1042995.947176,1042995.947176,1042995.947176,23661.000000,23661.000000,23661.000000,23661.000000,23661.000000,23661.000000
4,689039.530882,689039.530882,689039.530882,689039.530882,689039.530882,689039.530882,11782.000000,11782.000000,11782.000000,11782.000000,11782.000000,11782.000000
65536,282613.919898,282613.919898,282613.919898,282613.919898,282613.919898,282613.919898,7683.000000,7683.000000,7683.000000,7683.000000,7683.000000,7683.000000
8,496030.508167,496030.508167,496030.508167,496030.508167,496030.508167,496030.508167,14606.000000,14606.000000,14606.000000,14606.000000,14606.000000,14606.000000
32,900999.901266,900999.901266,900999.901266,900999.901266,900999.901266,900999.901266,23781.000000,23781.000000,23781.000000,23781.000000,23781.000000,23781.000000
32768,1060674.188820,1060674.188820,1060674.188820,1060674.188820,1060674.188820,1060674.188820,22864.000000,22864.000000,22864.000000,22864.000000,22864.000000,22864.000000
2,657525.543610,657525.543610,657525.543610,657525.543610,657525.543610,657525.543610,27632.000000,27632.000000,27632.000000,27632.000000,27632.000000,27632.000000
16384,1689998.091306,1689998.091306,1689998.091306,1689998.091306,1689998.091306,1689998.091306,27794.000000,27794.000000,27794.000000,27794.000000,27794.000000,27794.000000
64,1325071.828474,1325071.828474,1325071.828474,1325071.828474,1325071.828474,1325071.828474,21362.000000,21362.000000,21362.000000,21362.000000,21362.000000,21362.000000
128,1024537.905711,1024537.905711,1024537.905711,1024537.905711,1024537.905711,1024537.905711,22751.000000,22751.000000,22751.000000,22751.000000,22751.000000,22751.000000
2048,1609501.243399,1609501.243399,1609501.243399,1609501.243399,1609501.243399,1609501.243399,25712.000000,25712.000000,25712.000000,25712.000000,25712.000000,25712.000000
4096,1473865.691456,1473865.691456,1473865.691456,1473865.691456,1473865.691456,1473865.691456,26632.000000,26632.000000,26632.000000,26632.000000,26632.000000,26632.000000
512,1622883.638410,1622883.638410,1622883.638410,1622883.638410,1622883.638410,1622883.638410,26888.000000,26888.000000,26888.000000,26888.000000,26888.000000,26888.000000
