frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode3_maximum_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode5_maximum_flow_time,Dynamic_njobs100_mode6_maximum_flow_time
32768,575829.508616,575829.508616,575829.508616,575829.508616,575829.508616,575829.508616,15771.000000,15771.000000,15771.000000,15771.000000,15771.000000,15771.000000
2,445979.136421,445979.136421,445979.136421,445979.136421,445979.136421,445979.136421,6995.000000,6995.000000,6995.000000,6995.000000,6995.000000,6995.000000
4,685032.376325,685032.376325,685032.376325,685032.376325,685032.376325,685032.376325,10645.000000,10645.000000,10645.000000,10645.000000,10645.000000,10645.000000
8,656430.806882,656430.806882,656430.806882,656430.806882,656430.806882,656430.806882,11378.000000,11378.000000,11378.000000,11378.000000,11378.000000,11378.000000
16,701162.776157,701162.776157,701162.776157,701162.776157,701162.776157,701162.776157,12393.000000,12393.000000,12393.000000,12393.000000,12393.000000,12393.000000
65536,1929093.371858,1929087.736303,1929087.736303,1929087.736303,1929087.736303,1929087.736303,43249.000000,43249.000000,43249.000000,43249.000000,43249.000000,43249.000000
128,1036242.972396,1036242.972396,1036242.972396,1036242.972396,1036242.972396,1036242.972396,18830.000000,18830.000000,18830.000000,18830.000000,18830.000000,18830.000000
2048,962539.539761,962539.539761,962539.539761,962539.539761,962539.539761,962539.539761,20818.000000,20818.000000,20818.000000,20818.000000,20818.000000,20818.000000
32,878346.754305,879635.622798,879635.622798,879635.622798,879635.622798,879635.622798,14137.000000,14137.000000,14137.000000,14137.000000,14137.000000,14137.000000
1024,945094.049763,945094.049763,945094.049763,945094.049763,945094.049763,945094.049763,17465.000000,17465.000000,17465.000000,17465.000000,17465.000000,17465.000000
4096,1131817.945443,1131817.945443,1131817.945443,1131817.945443,1131817.945443,1131817.945443,25290.000000,25290.000000,25290.000000,25290.000000,25290.000000,25290.000000
256,979801.517792,982298.497282,982298.497282,982298.497282,982298.497282,982298.497282,16114.000000,14488.000000,14488.000000,14488.000000,14488.000000,14488.000000
16384,918868.647942,918868.647942,918868.647942,918868.647942,918868.647942,918868.647942,15125.000000,15125.000000,15125.000000,15125.000000,15125.000000,15125.000000
64,1175162.268968,1175162.268968,1175162.268968,1175162.268968,1175162.268968,1175162.268968,21406.000000,21406.000000,21406.000000,21406.000000,21406.000000,21406.000000
8192,998651.901985,1001504.989460,1001504.989460,1001504.989460,1001504.989460,1001504.989460,18193.000000,18193.000000,18193.000000,18193.000000,18193.000000,18193.000000
512,1364217.919960,1364217.919960,1364230.210706,1364230.210706,1364217.919960,1364230.210706,22184.000000,22184.000000,22184.000000,22184.000000,22184.000000,22184.000000
