frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode3_maximum_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode5_maximum_flow_time,Dynamic_njobs100_mode6_maximum_flow_time
2,450507.697279,451119.359321,451105.596636,451105.596636,451105.596636,451101.784013,10298.000000,7565.000000,7565.000000,7565.000000,7565.000000,7565.000000
65536,335608.382132,337577.856737,337762.925033,337762.925033,337762.925033,337674.267965,12151.000000,9779.000000,8663.000000,8663.000000,8663.000000,8663.000000
32,566463.484302,568529.932002,568529.932002,568532.955805,568532.955805,568529.932002,10724.000000,9509.000000,9509.000000,9509.000000,9509.000000,9509.000000
16384,1237463.581714,1270090.964396,1270090.964396,1270090.964396,1270093.377742,1270090.964396,44405.000000,25651.000000,25651.000000,25651.000000,25651.000000,25651.000000
256,1012559.032602,1037245.314396,1037245.314396,1037261.167526,1037261.167526,1037210.785326,20864.000000,20864.000000,20864.000000,20864.000000,20864.000000,20864.000000
8,730325.238492,741555.750258,741555.750258,741555.750258,741587.277843,741555.750258,14325.000000,12248.000000,12248.000000,12248.000000,12248.000000,12248.000000
16,929585.776639,933036.883675,933036.883675,933036.883675,933036.883675,933036.883675,17430.000000,17430.000000,17430.000000,17430.000000,17430.000000,17430.000000
4,825031.356976,829320.030974,829344.525325,829344.525325,829359.260279,829320.030974,14638.000000,12603.000000,12603.000000,12603.000000,12603.000000,12603.000000
128,1011442.072092,1022533.234867,1022533.234867,1022533.234867,1022533.234867,1022533.069623,19564.000000,19564.000000,19564.000000,19564.000000,19564.000000,19564.000000
64,1305223.463809,1306435.291122,1306435.291122,1306435.291122,1306444.764518,1306435.291122,22221.000000,22221.000000,22221.000000,22221.000000,22221.000000,22221.000000
512,1322087.911129,1330282.069536,1334267.277284,1334267.277284,1334267.277284,1334267.277284,21884.000000,21884.000000,21884.000000,21884.000000,21884.000000,21884.000000
32768,1603002.303178,1611730.069906,1615540.831426,1615540.831426,1615540.831426,1615540.831426,28431.000000,28431.000000,28431.000000,28431.000000,28431.000000,28431.000000
2048,1592037.579926,1625331.161296,1629781.608292,1629781.608292,1629781.608292,1629726.106495,28138.000000,25409.000000,25409.000000,25409.000000,25409.000000,25409.000000
1024,1605163.535608,1644978.729190,1645649.314272,1645649.314272,1645649.314272,1645649.314272,28936.000000,28936.000000,28936.000000,28936.000000,28936.000000,28936.000000
4096,1761498.887622,1801760.186617,1803542.723969,1803542.723969,1803542.723969,1803542.723969,28015.000000,27905.000000,27905.000000,27905.000000,27905.000000,27905.000000
8192,1877082.983071,1903449.870688,1916311.526893,1932775.913329,1932775.913329,1932761.835664,27596.000000,26089.000000,26089.000000,26089.000000,26089.000000,26089.000000
