frequency,Dynamic_njobs100_mode0_L2_norm_flow_time,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time,Dynamic_njobs100_mode16_L2_norm_flow_time,Dynamic_njobs100_mode0_maximum_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode8_maximum_flow_time,Dynamic_njobs100_mode16_maximum_flow_time
1024,14628475.546722,13617411.024941,13745839.453281,13953750.204398,14149063.183779,14390378.647685,524295.000000,436783.000000,458154.000000,471761.000000,493522.000000,520898.000000
128,14265484.134592,13709520.168607,13783944.959369,13739873.483573,13835812.523008,13921270.832499,538738.000000,495908.000000,495908.000000,495908.000000,503809.000000,509044.000000
16384,17093974.873686,17598770.281078,17727908.398908,17617365.483771,17341009.467154,17067927.896174,549260.000000,345065.000000,344553.000000,346218.000000,349449.000000,354490.000000
16,14319307.727288,13630947.249760,13743568.353181,13311039.150687,13703979.004082,13989626.616679,541383.000000,496923.000000,508855.000000,253262.000000,500876.000000,520409.000000
2048,13771574.220419,13343589.485464,13180480.019663,12904557.003633,12960521.963960,13231825.680368,514229.000000,237736.000000,237736.000000,442276.000000,452419.000000,490727.000000
256,14782673.400817,13961209.274920,14246112.455154,14419362.147851,14562484.108380,14729430.024507,551865.000000,274093.000000,510645.000000,519885.000000,532925.000000,551865.000000
2,13958349.001006,13333431.076540,13268747.511197,13186381.407438,13378714.801095,13405302.450131,530020.000000,489048.000000,476791.000000,248922.000000,267326.000000,286415.000000
32768,13798657.271600,14788818.670540,14761059.159606,14876941.441957,14540939.679817,14011060.052060,412049.000000,297094.000000,298746.000000,296320.000000,304320.000000,412049.000000
32,14111965.348965,13582023.026292,13480743.689021,13690429.136950,13940664.293374,14111965.348965,542876.000000,500057.000000,486031.000000,506019.000000,526768.000000,542876.000000
4096,12939296.693323,12242545.649295,12263134.572754,12511519.063044,12488579.846749,12481124.068306,273506.000000,395495.000000,401878.000000,258950.000000,258950.000000,431648.000000
4,14324849.479189,13468811.152691,13472946.652742,13569299.571171,13660497.013876,14324849.479189,546395.000000,473381.000000,473381.000000,487488.000000,490475.000000,546395.000000
512,13425004.220475,12918513.897657,12940261.450644,12978696.129184,13069106.908571,13099065.017455,507280.000000,463677.000000,471264.000000,478386.000000,480439.000000,480439.000000
64,14033932.493808,13575130.474102,13615859.303378,13602286.564932,13626046.957368,14033932.493808,526323.000000,480854.000000,493804.000000,493804.000000,498360.000000,526323.000000
65536,11614636.254726,11673873.406615,11666691.702480,11652758.092536,11619698.267350,11577400.076735,192948.000000,185306.000000,185306.000000,185306.000000,185306.000000,185306.000000
8192,9585906.807824,9567133.378711,9540628.495151,9481446.208427,10541589.726721,10283102.126732,309598.000000,302785.000000,302785.000000,305404.000000,190151.000000,203231.000000
8,14063562.864243,13526106.826357,13588564.254611,13670500.901784,13614819.489541,14063562.864243,528527.000000,488965.000000,496243.000000,501706.000000,281196.000000,528527.000000
