frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode3_maximum_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode5_maximum_flow_time,Dynamic_njobs100_mode6_maximum_flow_time
1024,1165310.231783,1167161.271540,1167161.271540,1167161.271540,1167161.271540,1167161.271540,19266.000000,19266.000000,19266.000000,19266.000000,19266.000000,19266.000000
128,34682592.293916,34804667.995782,34887960.463754,35116076.216994,35087978.308675,35176233.604969,871062.000000,883200.000000,889229.000000,893553.000000,893553.000000,895534.000000
16384,19271318.419498,19284376.255403,19296249.347213,19273063.058518,19275220.023081,19569326.932222,340630.000000,340630.000000,340630.000000,340630.000000,340630.000000,340630.000000
16,830074.898231,830074.898231,830074.898231,830074.898231,830074.898231,830074.898231,15735.000000,15735.000000,15735.000000,15735.000000,15735.000000,15735.000000
2048,17838433.103880,17859985.318848,18083063.921287,18201640.154957,18201640.154957,18201700.189705,317217.000000,317217.000000,317217.000000,317217.000000,317217.000000,317217.000000
256,34695785.335921,34771366.307788,35012862.067794,35067909.331731,35063370.108233,35221210.348980,620326.000000,872451.000000,886971.000000,886971.000000,886971.000000,892730.000000
2,247360.723568,247360.723568,247360.723568,247360.723568,247360.723568,247360.723568,4837.000000,4837.000000,4837.000000,4837.000000,4837.000000,4837.000000
32768,32938105.171290,32923885.682111,32925697.038063,32907863.868105,33390668.156643,33843466.904039,818766.000000,818766.000000,821711.000000,821711.000000,592051.000000,592051.000000
32,17682466.737912,17830345.912618,17830345.912618,17830345.912618,17830345.912618,17830345.912618,310170.000000,310170.000000,310170.000000,310170.000000,310170.000000,310170.000000
4096,1173042.395695,1183832.632721,1183832.632721,1183832.632721,1183832.632721,1183832.632721,20650.000000,19957.000000,19957.000000,19957.000000,19957.000000,19957.000000
4,522995.228801,522995.228801,522995.228801,522995.228801,522995.228801,522995.228801,8522.000000,8522.000000,8522.000000,8522.000000,8522.000000,8522.000000
512,34268712.428018,34456709.873678,34536575.250825,34726540.423007,34920339.167594,35045692.858116,848778.000000,870900.000000,870900.000000,884667.000000,893318.000000,897818.000000
64,18081045.722223,18280651.377434,18280651.377434,18280651.377434,18279981.811582,18280651.377434,318289.000000,318289.000000,318289.000000,318289.000000,318289.000000,318289.000000
65536,18621417.470617,18661120.440217,18747407.181549,18737884.008786,18720004.211180,18696529.519646,307284.000000,307284.000000,307284.000000,307284.000000,307284.000000,307284.000000
8192,34164932.068124,34316459.561301,34166292.120302,34126104.549225,34205395.678386,34863331.227797,856120.000000,616467.000000,856120.000000,856120.000000,868351.000000,887867.000000
8,588227.622747,588227.622747,588227.622747,588227.622747,588227.622747,588227.622747,9799.000000,9799.000000,9799.000000,9799.000000,9799.000000,9799.000000
