frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode3_maximum_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode5_maximum_flow_time,Dynamic_njobs100_mode6_maximum_flow_time,Dynamic_njobs100_mode7_maximum_flow_time
32,49130596.906870,49053152.794843,49053152.794843,49053152.794843,49053152.794843,49053152.794843,49053152.794843,1982938.000000,1982938.000000,1982938.000000,1982938.000000,1982938.000000,1982938.000000,1982938.000000
4096,54008733.015167,49799408.792857,45795361.282435,45206668.596430,45206668.596430,45140885.136127,45140885.136127,1887553.000000,2039571.000000,2108029.000000,2108029.000000,2108029.000000,2108029.000000,2108029.000000
8,46847509.970254,46994421.112300,46931620.974654,46931620.974654,46931620.974654,46931620.974654,46931620.974654,2086254.000000,2086254.000000,2086254.000000,2086254.000000,2086254.000000,2086254.000000,2086254.000000
2,48089929.964750,47654919.732136,47654919.732136,47654919.732136,47654919.732136,47654919.732136,47654919.732136,2098801.000000,2134211.000000,2134211.000000,2134211.000000,2134211.000000,2134211.000000,2134211.000000
256,49214994.988826,48684018.434802,48684018.434802,48684018.434802,48684018.434802,48684018.434802,48684018.434802,2060595.000000,2096878.000000,2096878.000000,2096878.000000,2096878.000000,2096878.000000,2096878.000000
4,46809412.005964,46786409.493366,46786409.493366,46786409.493366,46786409.493366,46786409.493366,46786409.493366,2145128.000000,2145128.000000,2145128.000000,2145128.000000,2145128.000000,2145128.000000,2145128.000000
64,50138565.767965,50112929.788058,50112929.788058,50112929.788058,50112929.788058,50112929.788058,50112929.788058,2131074.000000,2131074.000000,2131074.000000,2131074.000000,2131074.000000,2131074.000000,2131074.000000
2048,50516845.697808,49353995.151276,47439897.557775,47492023.974628,47492023.974628,47330027.305416,47330027.305416,2060505.000000,2060505.000000,2060505.000000,2060505.000000,2060505.000000,2060505.000000,2060505.000000
16384,47975248.627137,47971050.664226,45878463.676492,43494412.704737,42246310.842192,42246310.842192,42246310.842192,2188024.000000,2188024.000000,2188024.000000,2188024.000000,2188024.000000,2188024.000000,2188024.000000
512,52703692.290795,51174847.219086,51174847.219086,51174847.219086,51174847.219086,51174847.219086,51174847.219086,2133747.000000,2133747.000000,2133747.000000,2133747.000000,2133747.000000,2133747.000000,2133747.000000
32768,53705610.857753,53105008.637330,52986539.933835,52824146.140001,50618781.521252,48679529.542681,48679529.542681,1815889.000000,1815889.000000,1815889.000000,1815889.000000,2023578.000000,2023578.000000,2023578.000000
1024,55303079.661492,53912812.988817,53789934.810368,53789934.810368,53789934.810368,53789934.810368,53789934.810368,2107493.000000,2136583.000000,2136583.000000,2136583.000000,2136583.000000,2136583.000000,2136583.000000
16,48940994.030391,48940001.437988,48856656.948845,48856656.948845,48856656.948845,48856656.948845,48856656.948845,2367664.000000,2367664.000000,2367664.000000,2367664.000000,2367664.000000,2367664.000000,2367664.000000
128,50987471.457330,50937167.570017,50937167.570017,50937167.570017,50937167.570017,50937167.570017,50937167.570017,2374483.000000,2374483.000000,2374483.000000,2374483.000000,2374483.000000,2374483.000000,2374483.000000
65536,59258219.696648,59067274.531259,43961567.943265,43614198.603596,42611672.746034,39493986.738095,39507223.822421,1806659.000000,1806659.000000,1899059.000000,1899059.000000,1899059.000000,1899059.000000,1899059.000000
8192,62842338.933213,61800151.048318,60190479.834574,58286736.651167,57787912.983047,57768652.607667,57718226.260805,1721662.000000,1721662.000000,1932128.000000,1951302.000000,1971842.000000,1971842.000000,1971842.000000
