frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode3_maximum_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode5_maximum_flow_time,Dynamic_njobs100_mode6_maximum_flow_time
2048,12668455.751958,12056534.011695,10420364.537242,10503849.883051,10503849.883051,10503849.883051,274716.000000,291041.000000,524947.000000,524947.000000,524947.000000,524947.000000
4096,11302720.913334,11016022.181698,10913875.540084,10901638.388272,10901638.388272,10885451.042019,465089.000000,501728.000000,505311.000000,522412.000000,522412.000000,522412.000000
32,10071915.399954,10029947.087652,10029947.087652,10029947.087652,10029947.087652,10029947.087652,554226.000000,554226.000000,554226.000000,554226.000000,554226.000000,554226.000000
256,9860360.869664,11064751.463953,9840928.970663,9840928.970663,9840928.970663,9819479.835659,511230.000000,281651.000000,511230.000000,511230.000000,511230.000000,511230.000000
8,9929112.902400,9943497.143857,9943497.143857,9943497.143857,9943497.143857,9943497.143857,532715.000000,532715.000000,532715.000000,532715.000000,532715.000000,532715.000000
8192,13749018.512373,11379806.159279,10433800.368403,10499159.676342,10225407.049429,10275818.141586,303072.000000,459162.000000,514070.000000,514070.000000,541307.000000,541307.000000
64,9908932.845934,9908932.845934,9908932.845934,9908932.845934,9908932.845934,9908932.845934,558643.000000,558643.000000,558643.000000,558643.000000,558643.000000,558643.000000
2,9973751.913715,9919555.242875,9919555.242875,9919555.242875,9919555.242875,9793131.745831,541092.000000,550748.000000,550748.000000,550748.000000,550748.000000,553733.000000
32768,16350750.865957,16347841.312731,16351698.605413,16185986.646057,14634168.707500,14826082.448816,330685.000000,330685.000000,330685.000000,338549.000000,545625.000000,545625.000000
4,10192421.660285,10212075.715671,10212075.715671,10212075.715671,10212075.715671,10212075.715671,554815.000000,554815.000000,554815.000000,554815.000000,554815.000000,554815.000000
1024,11210497.637661,10402613.768866,10194547.315986,10265591.551788,10333093.327885,10145972.925304,472683.000000,524098.000000,524098.000000,524098.000000,524098.000000,524098.000000
512,10927907.766678,10598985.886402,10633340.543513,10633340.543513,10633340.543513,10633340.543513,552652.000000,552652.000000,552652.000000,552652.000000,552652.000000,552652.000000
16384,15652120.082270,15643753.482979,14763217.281705,14895389.048643,14681438.136151,14484000.464591,590364.000000,590364.000000,594188.000000,594188.000000,594188.000000,594188.000000
16,10100371.612623,9993732.490789,9993732.490789,9993732.490789,9993732.490789,9993732.490789,528119.000000,540810.000000,540810.000000,540810.000000,540810.000000,540810.000000
128,10280822.485723,10293008.990086,10271973.021460,10271973.021460,10271973.021460,10271973.021460,547846.000000,547846.000000,547846.000000,547846.000000,547846.000000,547846.000000
65536,15863917.439286,15845945.035058,15840371.167673,15839686.090112,15861320.901045,15849924.424445,450308.000000,449790.000000,449790.000000,449790.000000,449790.000000,439553.000000
