frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode8_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode3_maximum_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode5_maximum_flow_time,Dynamic_njobs100_mode6_maximum_flow_time,Dynamic_njobs100_mode7_maximum_flow_time,Dynamic_njobs100_mode8_maximum_flow_time
65536,65534752.268162,65351522.598409,65205427.981981,65124273.169172,64864175.537864,45853977.296632,45853977.296632,64960047.869148,796619.000000,796619.000000,796619.000000,796619.000000,796619.000000,1879105.000000,1879105.000000,796619.000000
8192,76915501.938493,76460335.869969,88123258.238836,84694102.185780,70788336.678136,69395584.980411,69395584.980411,71793598.670231,1660119.000000,1660119.000000,1019001.000000,1034073.000000,1917710.000000,2039909.000000,2039909.000000,1882463.000000
32768,97659047.014771,97210503.982079,96422013.845436,93289502.051123,89184970.134703,60343606.462292,62295903.576818,89102131.102997,982553.000000,982553.000000,982553.000000,982553.000000,1020708.000000,1929365.000000,1929365.000000,1013464.000000
16384,103678523.247947,100313844.369167,92482597.745420,90340565.626828,81463810.315636,73690393.317099,73690393.317099,82767763.653995,2102344.000000,2184186.000000,2184186.000000,2224318.000000,2325398.000000,2383628.000000,2383628.000000,2325398.000000
32,79452594.049219,79365283.769612,79196918.947624,79196918.947624,79196918.947624,79196918.947624,79196918.947624,79196918.947624,2121588.000000,2121588.000000,2121588.000000,2121588.000000,2121588.000000,2121588.000000,2121588.000000,2121588.000000
64,79767636.717564,78905713.186959,78905713.186959,78905713.186959,79040165.117894,78905713.186959,78905713.186959,78905713.186959,2163721.000000,2168388.000000,2168388.000000,2168388.000000,2168388.000000,2168388.000000,2168388.000000,2168388.000000
8,79173138.247707,78614574.525577,78603472.854623,78603472.854623,78603472.854623,78603472.854623,78603472.854623,78603472.854623,2131913.000000,2200474.000000,2200474.000000,2200474.000000,2200474.000000,2200474.000000,2200474.000000,2200474.000000
1024,86638763.910286,82790516.255948,81748931.713548,82105439.962800,82105439.962800,81583764.964065,81583764.964065,81583764.964065,2047038.000000,2234915.000000,2234915.000000,2234915.000000,2234915.000000,2234915.000000,2234915.000000,2234915.000000
4,80034024.682879,79519807.973025,79271750.640215,79255994.007640,79255994.007640,79271750.640215,79271750.640215,79271750.640215,2214490.000000,2214490.000000,2214490.000000,2214490.000000,2214490.000000,2214490.000000,2214490.000000,2214490.000000
16,80668608.727136,79993740.348537,79894838.123361,80048169.575882,79971269.887848,79856982.705838,79856982.705838,79856982.705838,2094543.000000,2139815.000000,2139815.000000,2139815.000000,2139815.000000,2139815.000000,2139815.000000,2139815.000000
2,80825400.145422,80448498.295723,80438681.100195,80596478.626307,80596478.626307,80417936.561153,80417936.561153,80417936.561153,2243603.000000,2243603.000000,2243603.000000,2243603.000000,2243603.000000,2243603.000000,2243603.000000,2243603.000000
512,84801019.906107,83931096.934551,83768659.337282,83768659.337282,83971766.305471,83768659.337282,83768659.337282,83768659.337282,2075564.000000,2184669.000000,2184669.000000,2184669.000000,2184669.000000,2184669.000000,2184669.000000,2184669.000000
128,82299499.068875,81860272.204597,81741209.000873,81741209.000873,81946775.326420,81741209.000873,81741209.000873,81741209.000873,2175400.000000,2175400.000000,2175400.000000,2175400.000000,2175400.000000,2175400.000000,2175400.000000,2175400.000000
256,85451169.879635,81059498.161150,80997453.898414,80997453.898414,81216092.879086,80997453.898414,80997453.898414,80997453.898414,2174208.000000,2326948.000000,2326948.000000,2326948.000000,2326948.000000,2326948.000000,2326948.000000,2326948.000000
2048,96985799.176522,88453542.181563,86310146.191306,85576003.160047,86509561.215412,85335855.702609,85335855.702609,85639305.550083,2251840.000000,2286240.000000,2314079.000000,2314079.000000,2314079.000000,2314079.000000,2314079.000000,2314079.000000
4096,120549562.142489,118381957.047670,95070913.802750,92106234.334027,79101735.060557,78816488.930405,78816488.930405,78736176.664997,1316735.000000,1319363.000000,2207675.000000,2207675.000000,2408603.000000,2408603.000000,2408603.000000,2408603.000000
