frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,158781.221594,5962.000000,1027.162110
4,302213.157761,8511.000000,79.649231
8,1753508.495066,31665.000000,17177.384551
16,1751704.581109,28923.000000,25158.182605
32,3889262.464258,72467.000000,250740.567356
64,745996.441064,14888.000000,6311.286161
128,547363.291925,12425.000000,3074.619489
256,8439571.277757,116047.000000,720946.165094
512,2015737.832825,28967.000000,254046.302242
1024,459655.535345,10858.000000,86511.323669
2048,654988.831186,12568.000000,223102.881091
4096,649324.065584,12895.000000,262395.862555
8192,2190086.183335,38656.000000,363688.083926
16384,2272512.605705,66389.000000,735598.735460
32768,966787.681754,25014.000000,373827.931226
65536,5358290.725300,82012.000000,2111411.504354
