frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,972759.129109,22536.000000,13342.578387
4,238228.157664,8455.000000,2239.605099
8,507589.786436,11593.000000,2241.064479
16,303724.164188,8378.000000,695.507009
32,1786732.899618,32776.000000,17865.787500
64,179721.559260,4904.000000,954.585250
128,1571617.178601,25739.000000,123466.421334
256,1000342.010192,17558.000000,50752.172545
512,690079.822208,16672.000000,84064.377093
1024,1147287.307167,20501.000000,147663.270846
2048,2078056.860303,40870.000000,199881.293822
4096,361992.230118,7987.000000,74975.374070
8192,363031.388566,8887.000000,155701.925239
16384,1937269.218653,34767.000000,766605.293615
32768,2220084.174401,38643.000000,1138162.252882
65536,3481798.606344,65025.000000,2639669.360077
