frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,874509.125419,17540.000000,18202.347623
4,655876.020766,15046.000000,10547.377684
8,256820.411932,5849.000000,6597.117931
16,838234.670387,12986.000000,11109.057431
32,2231967.274145,33435.000000,18979.205858
64,813826.201575,17398.000000,5074.699006
128,663423.490971,14815.000000,46210.906148
256,1574094.826680,29566.000000,57851.766879
512,1183399.146200,24686.000000,107286.183770
1024,1271909.052203,22617.000000,37850.567856
2048,2433836.947443,39216.000000,253161.736686
4096,1055303.275412,22599.000000,270793.672286
8192,1681586.079875,31809.000000,222337.458801
16384,2216106.764025,46953.000000,1314982.871198
32768,923122.364454,22078.000000,241667.709875
65536,552465.435932,11533.000000,0.000000
