frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,707368.101994,14981.000000,179.780422
4,1163193.417553,19533.000000,23597.130186
8,291178.519409,8173.000000,12.000000
16,7209522.912684,133417.000000,347807.418858
32,2709598.234797,54854.000000,92087.317037
64,1055253.492473,17491.000000,80420.521187
128,383956.098256,11629.000000,1884.335161
256,1453898.195361,38801.000000,10152.808823
512,517233.815953,11691.000000,62614.050069
1024,3539480.188559,52615.000000,269020.742747
2048,1318826.774424,32308.000000,6131.133256
4096,5666685.920993,73017.000000,1561808.036452
8192,26288039.198085,284166.000000,4898871.199320
16384,912680.524851,23016.000000,117177.390063
32768,1637135.208224,36746.000000,1332660.780797
65536,192741.608406,6388.000000,110550.327616
