frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,793975.235369,13682.000000,107.656862
4,633802.439882,10972.000000,2052.218799
8,1093166.258171,17103.000000,27092.678587
16,989238.848353,19288.000000,15153.619271
32,875179.732617,13390.000000,44637.621330
64,560315.589315,8279.000000,18842.617308
128,754178.489282,14235.000000,66904.864053
256,1325304.054715,17395.000000,121676.573041
512,1052913.688174,18881.000000,154679.120449
1024,2247129.254367,34191.000000,474449.345477
2048,826845.055734,15716.000000,41104.145764
4096,590793.241873,13184.000000,98696.842579
8192,1954337.990765,34976.000000,563821.811725
16384,578527.969925,12882.000000,239813.155801
32768,2733346.125740,38920.000000,692170.816801
65536,1152520.119733,18931.000000,561729.988602
