frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,103834.009063,2964.000000,485.310210
4,628591.385645,9718.000000,12822.447855
8,1159893.776616,18472.000000,22030.470217
16,340904.095553,6655.000000,14893.669729
32,1273412.209539,23377.000000,16379.252761
64,604165.889592,13883.000000,11659.725426
128,694484.303794,12409.000000,68941.486407
256,1091049.864438,17460.000000,78608.804819
512,687744.657744,11724.000000,45356.397730
1024,1033262.545809,17603.000000,236712.437261
2048,1159697.722843,19032.000000,295933.200633
4096,736713.117350,13767.000000,130488.726191
8192,1965779.264494,34957.000000,348641.462822
16384,1726798.563992,34717.000000,1192651.034520
32768,1581908.674958,25529.000000,605536.875019
65536,1852601.503755,33099.000000,1430180.185394
