frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,1233493.209012,21011.000000,26897.009871
4,673075.940443,11561.000000,8682.801046
8,1466017.764798,23017.000000,44244.721301
16,518778.941684,8606.000000,21197.782478
32,1634886.010798,25601.000000,12253.225698
64,1018349.582136,18788.000000,62453.168350
128,1153115.434164,23492.000000,38772.537033
256,935171.903461,14455.000000,73209.572967
512,461944.353351,9155.000000,23799.379551
1024,1597541.849502,24189.000000,235148.471182
2048,470623.703737,10335.000000,103875.621081
4096,1067549.216938,19742.000000,172351.074374
8192,2116538.082590,33157.000000,1122352.458813
16384,2449298.553332,35304.000000,522366.908653
32768,866801.346661,19607.000000,439295.734501
65536,1181558.989399,20713.000000,0.000000
