Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
24,4.073000,262144.000000,8870483.826041,115578.000000
24,4.639000,32768.000000,2172561.713099,45342.000000
24,5.649000,4096.000000,3745698.859850,60846.000000
24,7.918000,512.000000,3788671.786442,67691.000000
24,16.772000,64.000000,3942377.692646,68101.000000
24,30.000000,6.000000,3799308.371016,64900.000000
24,30.000000,9.000000,4047395.546591,69304.000000
24,30.000000,12.000000,3733617.490416,63565.000000
24,30.000000,15.000000,3803027.056975,66157.000000
24,30.000000,18.000000,3938669.175274,67517.000000
