frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,713584.249326,10567.000000,9079.961509
4,653689.443651,12444.000000,13441.241386
8,354415.697145,6574.000000,3119.690850
16,724682.547759,11232.000000,4438.175413
32,697530.438030,11989.000000,25557.568507
64,1302587.250614,24168.000000,90954.428897
128,1229179.445930,22877.000000,68984.561613
256,1218529.579668,23212.000000,45610.898632
512,994141.893625,20440.000000,75899.855883
1024,597336.742996,14031.000000,121407.958285
2048,591041.693118,10860.000000,48895.667017
4096,1558879.690568,24250.000000,310232.083339
8192,1354246.190060,23566.000000,404177.310055
16384,1514836.088222,23756.000000,462893.901062
32768,1542360.443962,26406.000000,410459.006549
65536,751218.700313,19307.000000,569200.730341
