frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,433843.802127,7767.000000,6893.792933
4,569279.838240,9626.000000,4619.424207
8,618673.001127,13925.000000,1067.275035
16,361483.933346,7435.000000,18186.848380
32,595998.024752,8890.000000,20210.448461
64,924418.513724,18240.000000,33129.032917
128,972894.669587,14396.000000,76241.730686
256,876443.485098,13288.000000,71780.686915
512,1214873.302639,24194.000000,34315.015343
1024,789445.946950,10949.000000,80991.387406
2048,1222622.069879,23243.000000,353275.679563
4096,1275634.468626,24362.000000,548867.672333
8192,1175711.339203,20683.000000,357103.246460
16384,1476305.244712,25732.000000,399760.102829
32768,1335022.611598,28663.000000,984128.268696
65536,1681512.612474,33625.000000,1093748.502623
