frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,846409.728283,15003.000000,3796.701331
4,376379.902048,6277.000000,7861.168552
8,397220.830860,8447.000000,19010.332717
16,505744.982457,9164.000000,12250.489133
32,732619.839860,14858.000000,18295.966960
64,1384791.821236,24371.000000,67381.613731
128,1366870.794343,23650.000000,44910.290758
256,1243226.857074,19868.000000,13217.873543
512,1120472.985198,21733.000000,74219.769833
1024,637807.615508,9282.000000,81672.541983
2048,1858646.860970,29160.000000,553546.236334
4096,911165.832559,14694.000000,122195.626223
8192,430614.816458,9151.000000,165155.722907
16384,2426424.303826,39278.000000,332215.648792
32768,1398672.116897,25082.000000,745917.492327
65536,3748303.785466,59323.000000,2868011.245325
