frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,258253.899274,4202.000000,6240.935987
4,325135.672574,6891.000000,3865.392865
8,428473.637688,6808.000000,3526.593399
16,619323.294085,10832.000000,21497.699435
32,509394.943235,9890.000000,12813.551459
64,465901.075804,9337.000000,39264.096386
128,997967.070700,17520.000000,81989.777277
256,1235002.250337,20651.000000,30130.786150
512,1400881.811699,22495.000000,118079.361969
1024,566418.165213,10075.000000,62785.439594
2048,1358320.712669,22807.000000,341069.730423
4096,742615.556321,13928.000000,205656.640902
8192,770095.044848,15954.000000,98376.963482
16384,966466.134123,15100.000000,208460.706405
32768,1735414.751836,28471.000000,441246.555306
65536,813092.257641,15860.000000,473200.697266
