frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,392466.277792,8428.000000,5933.575735
4,718995.945182,13291.000000,20405.318939
8,442531.329555,9044.000000,17906.163799
16,827402.681462,13546.000000,16185.489736
32,783223.805976,13222.000000,27800.656017
64,784853.192043,15076.000000,2650.724052
128,1486832.724518,23228.000000,70842.717551
256,1014709.066348,20162.000000,47221.723359
512,1103771.947539,17485.000000,184276.526088
1024,824010.883069,13797.000000,15066.266492
2048,1773543.240643,31022.000000,379734.546316
4096,1406127.060234,26349.000000,80329.002508
8192,1457001.189633,25427.000000,436971.858163
16384,467222.062391,9474.000000,172549.097280
32768,1686142.781800,29081.000000,891973.068213
65536,1331909.463949,24621.000000,814071.563169
