frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,252791.184961,5007.000000,2546.391368
4,502082.583033,9444.000000,5104.668452
8,636048.581450,9016.000000,13172.015563
16,561009.227949,10911.000000,9991.178259
32,626646.056951,11610.000000,2064.241023
64,779060.922698,13704.000000,22437.021349
128,1097513.288454,17055.000000,10106.874047
256,743964.695707,13021.000000,23485.801988
512,1317947.766181,23885.000000,26225.252906
1024,1734127.006046,26276.000000,174085.578673
2048,1084487.437360,17534.000000,82871.793579
4096,1262933.174621,21838.000000,157295.750864
8192,813565.217697,21274.000000,477788.480798
16384,161981.052957,4761.000000,70518.001085
32768,2602719.003526,41158.000000,1387066.031880
65536,4003685.848739,53130.000000,2298398.317956
