frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,369790.302366,7703.000000,6228.969578
4,403994.094099,8420.000000,2241.554371
8,669881.704081,13997.000000,20681.726427
16,818589.122402,14930.000000,15741.497705
32,915660.450298,14476.000000,49221.192306
64,913669.139886,16088.000000,81859.228020
128,1216433.113474,18855.000000,115025.594465
256,987546.172917,17692.000000,107628.152386
512,1062192.350829,16692.000000,181800.560205
1024,1530083.643978,26013.000000,325196.671863
2048,1299137.076652,24342.000000,27736.037875
4096,631536.189334,14844.000000,120008.537305
8192,539302.033008,17676.000000,376877.692414
16384,2259294.863825,40446.000000,949183.009535
32768,1671745.362213,27475.000000,830440.313073
65536,1553346.202516,30388.000000,879804.162996
