frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,437155.107175,7149.000000,7793.917436
4,238159.707944,4538.000000,2223.844419
8,706939.382473,13414.000000,17663.160363
16,403766.650801,6482.000000,7999.109638
32,503839.961016,9157.000000,14889.575313
64,668145.143637,13815.000000,16672.714896
128,919709.219588,18874.000000,125556.103667
256,744583.257389,13365.000000,85741.490785
512,1237636.240923,19990.000000,83462.678438
1024,1953239.040631,30018.000000,360599.383595
2048,1226709.861847,21297.000000,148761.955278
4096,1635048.703475,29973.000000,146520.487431
8192,1459904.268129,23555.000000,440783.431307
16384,991270.140790,19376.000000,462954.739196
32768,738882.788953,14181.000000,308867.771321
65536,54959.795878,2693.000000,0.000000
