frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,661563.677622,9323.000000,10423.074498
4,301815.524591,6466.000000,2307.755836
8,686657.209697,10981.000000,5522.261493
16,458744.187040,8242.000000,10640.198353
32,608072.852757,10037.000000,24325.949704
64,500027.693992,10924.000000,2882.725793
128,858112.532505,14763.000000,48913.169495
256,1081032.381558,20028.000000,129067.123444
512,990612.760159,17687.000000,166788.201498
1024,741686.433336,12457.000000,102365.788855
2048,1501681.651403,24717.000000,237513.855061
4096,1783324.729950,31361.000000,513479.312766
8192,1512520.235044,26700.000000,342230.371851
16384,1628236.188284,33797.000000,1078151.843784
32768,690412.243355,13857.000000,374604.818789
65536,1673774.843049,38625.000000,1312678.197118
