frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,622643.320878,10428.000000,13173.135162
4,678791.816994,10769.000000,2899.164880
8,655446.047172,11101.000000,23286.229407
16,527664.205772,11503.000000,9574.274176
32,842368.357283,14742.000000,23641.368784
64,1082148.322793,17346.000000,48390.604822
128,1062934.358371,18866.000000,62784.236716
256,925282.832576,17308.000000,35626.909352
512,1247066.762804,21012.000000,139566.017082
1024,897687.250488,19353.000000,143773.132028
2048,1426822.468888,22785.000000,290563.763981
4096,1311434.757466,27844.000000,601380.154500
8192,1363697.571383,24685.000000,591142.361601
16384,2173835.870861,48122.000000,1861277.940743
32768,2225913.601742,44462.000000,1460176.113182
65536,527753.122851,14197.000000,51185.708181
