frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,130112433.362868,1137220.000000
4,132879813.958613,1168890.000000
8,127809322.224170,1105146.000000
16,133688323.836056,1202157.000000
32,132191899.569200,1193526.000000
64,140651609.284606,1220331.000000
128,134535511.335305,1124463.000000
256,131847574.325048,1145534.000000
512,133875687.322463,1150217.000000
1024,136458192.805183,1168758.000000
2048,131804394.533274,1162480.000000
4096,150741432.314273,1249500.000000
8192,139331339.334796,1143603.000000
16384,163200537.925106,1292589.000000
32768,167059210.177556,1502508.000000
65536,132138744.228343,1221601.000000
