frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,223821.789790,85174.000000,0.000000
4,340411.109866,123182.000000,0.000000
8,325556.333197,120453.000000,0.000000
16,193069.308294,159058.000000,0.000000
32,104222.374896,30511.000000,0.000000
64,468287.999773,200828.000000,0.000000
128,344353.734024,96734.000000,0.000000
256,498967.284604,166074.000000,0.000000
512,624653.840736,186954.000000,0.000000
1024,846355.068292,259210.000000,0.000000
2048,659884.979412,173976.000000,0.000000
4096,899341.172218,252517.000000,0.000000
8192,647618.324609,92411.000000,0.000000
16384,511025.291788,69741.000000,0.000000
32768,1496962.256077,195472.000000,0.000000
65536,1977385.097472,226559.000000,0.000000
