frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,157383.846636,66811.000000,0.000000
4,216132.922057,132575.000000,0.000000
8,86662.207155,37415.000000,0.000000
16,91319.549993,37210.000000,0.000000
32,163343.649935,138223.000000,0.000000
64,330862.592227,152739.000000,0.000000
128,244186.566410,155534.000000,0.000000
256,200002.722354,90139.000000,0.000000
512,156244.123134,121896.000000,0.000000
1024,97526.056041,33641.000000,0.000000
2048,114989.647830,51457.000000,0.000000
4096,387925.223619,132297.000000,0.000000
8192,302256.226199,171928.000000,0.000000
16384,244560.812824,120089.000000,0.000000
32768,342263.414167,179210.000000,0.000000
65536,337874.459274,123786.000000,0.000000
