frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,262268.275073,84575.000000,0.000000
4,370422.442374,131648.000000,0.000000
8,780854.278434,197776.000000,0.000000
16,200069.593579,57749.000000,0.000000
32,457241.744413,123912.000000,0.000000
64,865784.370294,266909.000000,0.000000
128,969777.934623,221163.000000,0.000000
256,913681.745753,212084.000000,0.000000
512,1359513.602237,235518.000000,0.000000
1024,1430280.730613,243575.000000,0.000000
2048,349466.684806,70194.000000,0.000000
4096,1217035.743363,248883.000000,0.000000
8192,1211580.008098,249878.000000,0.000000
16384,1964397.626207,233249.000000,0.000000
32768,2306577.962182,190322.000000,0.000000
65536,408649.608040,84314.000000,0.000000
