frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,473121.902098,75262.000000,0.000000
4,412101.612123,72599.000000,0.000000
8,1453324.652649,204604.000000,0.000000
16,687447.434551,88588.000000,0.000000
32,969588.683305,141031.000000,0.000000
64,1176535.374537,148312.000000,0.000000
128,1551793.354274,169879.000000,0.000000
256,1233983.007050,158290.000000,0.000000
512,1437600.753234,187819.000000,0.000000
1024,1051765.781341,145393.000000,0.000000
2048,1906292.133124,206931.000000,0.000000
4096,1192926.451224,157642.000000,0.000000
8192,2013879.520241,229099.000000,0.000000
16384,2053674.121238,143894.000000,0.000000
32768,4011132.573969,275368.000000,0.000000
65536,298992.043436,36004.000000,0.000000
