frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,81818.486866,27576.000000,0.000000
4,566054.411492,300230.000000,0.000000
8,368148.923069,147586.000000,0.000000
16,291271.577841,189827.000000,0.000000
32,212788.234170,78720.000000,0.000000
64,634032.134113,266838.000000,0.000000
128,470487.594717,198427.000000,0.000000
256,164975.563966,82816.000000,0.000000
512,607266.161735,218665.000000,0.000000
1024,558741.131280,142988.000000,0.000000
2048,445672.141311,231807.000000,0.000000
4096,138098.660149,80012.000000,0.000000
8192,803043.765556,175234.000000,0.000000
16384,691729.381679,262356.000000,0.000000
32768,381045.524182,105150.000000,0.000000
65536,658846.054813,158607.000000,0.000000
