frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,428680.341824,238552.000000,0.000000
4,324261.255132,215016.000000,0.000000
8,221129.787435,107729.000000,0.000000
16,539014.984886,195916.000000,0.000000
32,60588.618973,19977.000000,0.000000
64,225634.444454,119906.000000,0.000000
128,355190.213111,180887.000000,0.000000
256,144138.281570,74261.000000,0.000000
512,758313.643230,281404.000000,0.000000
1024,350604.522996,93631.000000,0.000000
2048,609509.901669,274213.000000,0.000000
4096,946940.501799,258921.000000,0.000000
8192,417853.307998,98194.000000,0.000000
16384,312571.964096,139174.000000,0.000000
32768,361816.458103,186271.000000,0.000000
65536,1267417.194807,261950.000000,0.000000
