frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,670828.348957,104520.000000,0.000000
4,188450.526855,29957.000000,0.000000
8,1534468.482178,218634.000000,0.000000
16,817885.121682,128530.000000,0.000000
32,1176296.893716,167482.000000,0.000000
64,1371972.409911,174856.000000,0.000000
128,471085.039941,69465.000000,0.000000
256,2093938.331128,241803.000000,0.000000
512,1870696.274633,233475.000000,0.000000
1024,851138.062255,129081.000000,0.000000
2048,1649987.761954,175192.000000,0.000000
4096,1763274.862728,214942.000000,0.000000
8192,1657138.014130,184186.000000,0.000000
16384,3234888.648208,215614.000000,0.000000
32768,2836678.270297,231009.000000,0.000000
65536,1260172.738117,111985.000000,0.000000
