frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,169529.530047,73243.000000,0.000000
4,534650.785828,197914.000000,0.000000
8,140723.187187,74034.000000,0.000000
16,703774.389137,251985.000000,0.000000
32,456915.162097,198503.000000,0.000000
64,206145.915291,99243.000000,0.000000
128,436594.076002,249081.000000,0.000000
256,280537.087111,124505.000000,0.000000
512,243846.707261,136831.000000,0.000000
1024,311229.428011,104338.000000,0.000000
2048,476735.866513,201319.000000,0.000000
4096,260136.551440,136882.000000,0.000000
8192,568426.669694,197075.000000,0.000000
16384,576962.459151,127160.000000,0.000000
32768,553727.923145,213980.000000,0.000000
65536,1594092.254335,137027.000000,0.000000
