Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
30,4.073000,262144.000000,59620.946957,47325.000000
30,4.639000,32768.000000,467990.537082,270352.000000
30,5.649000,4096.000000,836045.118815,249326.000000
30,7.918000,512.000000,502377.849541,64672.000000
30,16.772000,64.000000,1296655.291963,47699.000000
30,30.000000,6.000000,1116277.006114,32913.000000
30,30.000000,9.000000,758582.001297,25677.000000
30,30.000000,12.000000,1635389.503064,54221.000000
30,30.000000,15.000000,1207633.241923,47070.000000
30,30.000000,18.000000,1544441.221234,67293.000000
