frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,678714.128507,29794.000000,0.000000
4,1191447.834444,51435.000000,0.000000
8,1883844.215144,75514.000000,0.000000
16,1221794.832457,48995.000000,0.000000
32,1657662.121022,71161.000000,0.000000
64,1375458.019415,61363.000000,0.000000
128,2069731.286272,88143.000000,0.000000
256,2361761.682124,92759.000000,0.000000
512,1684412.899418,75868.000000,0.000000
1024,2932593.385536,119934.000000,0.000000
2048,3423255.426605,116051.000000,0.000000
4096,3914014.587028,141708.000000,0.000000
8192,2299921.428870,87688.000000,0.000000
16384,3100602.982842,114701.000000,0.000000
32768,1066020.538992,37386.000000,0.000000
65536,655716.336181,37391.000000,0.000000
