frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,1742804.676781,76374.000000,0.000000
4,1171365.758566,51410.000000,0.000000
8,362956.647429,17558.000000,0.000000
16,836754.360195,34024.000000,0.000000
32,2596714.222749,105635.000000,0.000000
64,1651490.038714,59103.000000,0.000000
128,2018195.804493,78799.000000,0.000000
256,2977961.583104,116062.000000,0.000000
512,1890245.163012,75759.000000,0.000000
1024,2485047.715793,100408.000000,0.000000
2048,3438649.716537,129394.000000,0.000000
4096,4684717.113395,143617.000000,0.000000
8192,661787.949851,29772.000000,0.000000
16384,1517699.877118,66312.000000,0.000000
32768,3056254.287433,111387.000000,0.000000
65536,2288790.979698,98031.000000,0.000000
