frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,339124.200402,19335.000000,0.000000
4,993178.260794,42094.000000,0.000000
8,1243639.778181,44346.000000,0.000000
16,1012698.902320,35427.000000,0.000000
32,1158313.957689,45207.000000,0.000000
64,1677393.047526,61836.000000,0.000000
128,2230328.084881,72889.000000,0.000000
256,2957787.199051,107340.000000,0.000000
512,2110160.061435,74426.000000,0.000000
1024,2982131.218403,106471.000000,0.000000
2048,2879804.891196,83690.000000,0.000000
4096,3344805.449883,112834.000000,0.000000
8192,3770684.843333,133810.000000,0.000000
16384,2385471.127356,77098.000000,0.000000
32768,1954081.842997,60113.000000,0.000000
65536,5865345.292285,175916.000000,0.000000
