frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,441344.276646,18806.000000,0.000000
4,890176.337637,34330.000000,0.000000
8,1319396.289691,57248.000000,0.000000
16,1364286.324776,66951.000000,0.000000
32,2120150.042797,77643.000000,0.000000
64,2414316.246508,97034.000000,0.000000
128,3394563.848495,119452.000000,0.000000
256,3288717.756545,107804.000000,0.000000
512,3046086.570945,121017.000000,0.000000
1024,3137985.019102,128428.000000,0.000000
2048,3063675.796611,122547.000000,0.000000
4096,2271844.676730,83186.000000,0.000000
8192,1187754.635069,44688.000000,0.000000
16384,2608196.547288,82448.000000,0.000000
32768,3967596.224472,129212.000000,0.000000
65536,213369.676648,15735.000000,0.000000
