frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,654957.460411,24450.000000,0.000000
4,964289.729707,39072.000000,0.000000
8,1566467.357595,61344.000000,0.000000
16,1309874.090865,53549.000000,0.000000
32,2331535.944451,73784.000000,0.000000
64,1723103.917823,76102.000000,0.000000
128,2987685.058503,104177.000000,0.000000
256,1987037.921319,72140.000000,0.000000
512,1917755.268463,78895.000000,0.000000
1024,2912853.230045,100435.000000,0.000000
2048,1817566.936153,69445.000000,0.000000
4096,3677862.119719,123284.000000,0.000000
8192,5089130.913244,135962.000000,0.000000
16384,5757701.484760,180613.000000,0.000000
32768,5505320.425866,160896.000000,0.000000
65536,6243219.159134,139488.000000,0.000000
