frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,435348.180240,20393.000000,0.000000
4,2264567.254229,77790.000000,0.000000
8,1265006.755654,44985.000000,0.000000
16,781334.344830,43893.000000,0.000000
32,2196243.085900,81626.000000,0.000000
64,1652776.953565,57755.000000,0.000000
128,1441142.361526,55384.000000,0.000000
256,1821131.033950,78167.000000,0.000000
512,3090336.599555,120215.000000,0.000000
1024,2925657.089176,107855.000000,0.000000
2048,3809906.414290,135980.000000,0.000000
4096,2566606.098521,92844.000000,0.000000
8192,2848682.157665,100337.000000,0.000000
16384,3028596.321674,128867.000000,0.000000
32768,4674532.725015,138828.000000,0.000000
65536,1901118.326054,90554.000000,0.000000
