frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,58575239.237044,879361.000000,0.000000
4,32001059.402875,552512.000000,0.000000
8,57636473.762237,878456.000000,0.000000
16,57587545.444782,871496.000000,0.000000
32,1882707.094504,94288.000000,0.000000
64,59046496.024450,892378.000000,0.000000
128,31925957.926188,564766.000000,0.000000
256,58825432.614587,874439.000000,0.000000
512,33450689.073254,559934.000000,0.000000
1024,59459599.393753,868682.000000,0.000000
2048,2943522.967564,108595.000000,0.000000
4096,1878978.541957,83042.000000,0.000000
8192,1060191.254633,48965.000000,0.000000
16384,343402.448333,20135.000000,0.000000
32768,2400989.358037,81971.000000,0.000000
65536,61140250.551302,861905.000000,0.000000
