frequency,RFDynamic_njobs200_mode0_L2_norm_flow_time,RFDynamic_njobs200_mode1_L2_norm_flow_time,RFDynamic_njobs200_mode2_L2_norm_flow_time,RFDynamic_njobs200_mode4_L2_norm_flow_time,RFDynamic_njobs200_mode8_L2_norm_flow_time,RFDynamic_njobs200_mode16_L2_norm_flow_time,RFDynamic_njobs200_mode0_maximum_flow_time,RFDynamic_njobs200_mode1_maximum_flow_time,RFDynamic_njobs200_mode2_maximum_flow_time,RFDynamic_njobs200_mode4_maximum_flow_time,RFDynamic_njobs200_mode8_maximum_flow_time,RFDynamic_njobs200_mode16_maximum_flow_time
1024,87514.040085,315353.009973,146434.279125,87970.270848,87905.596693,87894.162480,12928.000000,12928.000000,12928.000000,12928.000000,12928.000000,12928.000000
128,61179.896093,201089.125265,178539.969855,61236.532838,61214.192872,61463.033443,15935.000000,15935.000000,15935.000000,15935.000000,15935.000000,15935.000000
2048,133806.246525,798238.563979,595512.776277,133786.884963,134057.554379,133811.687345,30850.000000,40629.000000,40629.000000,30842.000000,30849.000000,30850.000000
16384,139416.424384,1399043.032368,1327883.998257,981868.284302,867603.804997,139485.567533,48132.000000,48132.000000,48132.000000,48132.000000,48132.000000,48132.000000
65536,831915.751378,992808.793510,993616.929450,994575.487063,993820.098043,965202.621607,34196.000000,32131.000000,32131.000000,32131.000000,32131.000000,32131.000000
32,55098.116420,131189.916202,55094.068374,55089.848720,55245.829318,55237.694639,16789.000000,15990.000000,16789.000000,16789.000000,16789.000000,16789.000000
64,65216.604258,355933.065845,268374.501667,65240.090742,65232.600807,65222.845545,14020.000000,14963.000000,14626.000000,14048.000000,14042.000000,14019.000000
2,52054.459252,164560.624321,107673.673547,79099.678552,52051.543234,52081.444037,11492.000000,11515.000000,11510.000000,11515.000000,11534.000000,11545.000000
4096,76764.079041,264532.988546,226990.054390,162833.921383,73193.413392,73193.433790,14887.000000,14883.000000,14852.000000,14876.000000,14863.000000,14884.000000
8192,283450.045177,773335.162195,852872.548333,576036.589302,281667.272685,288722.304073,26820.000000,30035.000000,30035.000000,29032.000000,26805.000000,26799.000000
256,82928.724969,1134856.259844,747538.413978,83001.163654,82875.751387,83940.041482,39030.000000,39089.000000,39081.000000,39078.000000,39046.000000,39066.000000
8,79102.320377,159726.460691,78274.552844,78299.461939,78303.360337,78878.229094,18680.000000,18680.000000,18680.000000,18680.000000,18680.000000,18680.000000
4,43805.071396,56026.433984,43812.854347,43672.932384,43674.283623,43653.171947,10288.000000,10288.000000,10288.000000,10288.000000,10288.000000,10288.000000
32768,114430.601379,192315.993511,192411.139631,187458.341463,134721.804649,114702.475204,15309.000000,15309.000000,15309.000000,15309.000000,15309.000000,15309.000000
512,109509.196792,335363.390424,199250.224065,143343.304441,109533.308322,109518.032894,19845.000000,20222.000000,19845.000000,19845.000000,19845.000000,19845.000000
16,57030.252831,268254.516611,57503.584158,57028.412121,57014.633323,57037.716811,15949.000000,15949.000000,15949.000000,15949.000000,15949.000000,15949.000000
