frequency,RFDynamic_njobs50_mode0_L2_norm_flow_time,RFDynamic_njobs50_mode1_L2_norm_flow_time,RFDynamic_njobs50_mode2_L2_norm_flow_time,RFDynamic_njobs50_mode4_L2_norm_flow_time,RFDynamic_njobs50_mode8_L2_norm_flow_time,RFDynamic_njobs50_mode16_L2_norm_flow_time,RFDynamic_njobs50_mode0_maximum_flow_time,RFDynamic_njobs50_mode1_maximum_flow_time,RFDynamic_njobs50_mode2_maximum_flow_time,RFDynamic_njobs50_mode4_maximum_flow_time,RFDynamic_njobs50_mode8_maximum_flow_time,RFDynamic_njobs50_mode16_maximum_flow_time
512,106019.178152,1915836.903097,1228293.344795,563813.149362,106018.535540,106021.274431,75146.000000,75146.000000,75146.000000,75146.000000,75146.000000,75146.000000
16384,93019.516737,1517743.377247,1214629.737048,402629.182965,93128.265596,93101.454854,54964.000000,54964.000000,54964.000000,54964.000000,54964.000000,54964.000000
4096,95833.152093,839478.970643,531653.084155,121215.327876,94855.924059,94810.473783,34562.000000,33920.000000,34503.000000,34527.000000,34572.000000,34420.000000
32,30485.546165,201966.915744,133187.401942,38934.422752,30490.463706,30484.234778,11911.000000,11911.000000,11911.000000,11911.000000,11911.000000,11911.000000
65536,117026.543451,759047.039957,525480.650503,313645.732158,117081.671798,117119.091138,27043.000000,27043.000000,26313.000000,26313.000000,27043.000000,27043.000000
1024,74934.948535,1638132.600792,998722.819318,268959.581041,268954.790736,74951.531279,36251.000000,47753.000000,45995.000000,36954.000000,36954.000000,36251.000000
8192,59735.877687,165976.736020,127429.477190,66733.028637,59740.539477,59738.342888,8761.000000,8767.000000,8764.000000,8767.000000,8767.000000,8764.000000
256,64108.687313,1057957.577733,553604.511439,64084.741257,64102.330340,64114.635638,31494.000000,37197.000000,34624.000000,31494.000000,31494.000000,31494.000000
8,28055.972822,120235.077827,88542.410827,41051.055187,28049.152590,28054.776848,6229.000000,6229.000000,6229.000000,6229.000000,6229.000000,6229.000000
16,34773.949172,133773.029931,56429.709259,34707.922957,34806.910478,34711.347727,9014.000000,9014.000000,9014.000000,9014.000000,9014.000000,9014.000000
32768,105242.155864,1117908.880834,535186.714219,296486.355543,105276.883654,105303.585129,30588.000000,39263.000000,39256.000000,39256.000000,30619.000000,30615.000000
2,37979.933017,709994.004042,566662.625514,295349.663623,37981.012612,38017.911200,28081.000000,27649.000000,27649.000000,28081.000000,28081.000000,28081.000000
4,67746.850082,986565.781568,746943.737244,349762.929211,67695.166637,67725.979528,39296.000000,43244.000000,44324.000000,38940.000000,39296.000000,39296.000000
2048,74272.603092,826476.495061,469639.522060,167086.299884,72907.844647,72896.716510,27991.000000,30031.000000,27792.000000,27991.000000,27991.000000,27991.000000
64,66815.680106,1071348.261509,817530.469101,176331.363662,66879.907588,66786.912640,20751.000000,33488.000000,33320.000000,23386.000000,20751.000000,20751.000000
128,106108.622944,1371106.442754,799483.457678,326997.001609,104464.923879,106984.941987,31955.000000,44620.000000,43934.000000,43934.000000,31953.000000,31873.000000
