frequency,RFDynamic_njobs500_mode0_L2_norm_flow_time,RFDynamic_njobs500_mode1_L2_norm_flow_time,RFDynamic_njobs500_mode2_L2_norm_flow_time,RFDynamic_njobs500_mode4_L2_norm_flow_time,RFDynamic_njobs500_mode8_L2_norm_flow_time,RFDynamic_njobs500_mode16_L2_norm_flow_time,RFDynamic_njobs500_mode0_maximum_flow_time,RFDynamic_njobs500_mode1_maximum_flow_time,RFDynamic_njobs500_mode2_maximum_flow_time,RFDynamic_njobs500_mode4_maximum_flow_time,RFDynamic_njobs500_mode8_maximum_flow_time,RFDynamic_njobs500_mode16_maximum_flow_time
16,324038.103867,322163.348043,324034.620032,324015.134682,324016.488258,324033.920061,12750.000000,12753.000000,12752.000000,12753.000000,12753.000000,12744.000000
1024,1301146.086042,1148087.061998,1171540.618517,1301146.809420,1301146.793208,1301146.466725,20997.000000,26978.000000,26401.000000,20997.000000,20997.000000,20997.000000
512,981359.121404,980762.716824,981359.121404,981359.121404,981359.121404,981359.121404,18437.000000,18437.000000,18437.000000,18437.000000,18437.000000,18437.000000
16384,706970.994686,685768.861407,718308.504671,719018.275556,706970.994686,706970.994686,15543.000000,21828.000000,15543.000000,15543.000000,15543.000000,15543.000000
64,943385.671173,934776.113621,943385.550517,943385.782204,942795.692437,942795.692437,15547.000000,15547.000000,15547.000000,15547.000000,15547.000000,15547.000000
256,816773.357606,702997.508453,816773.357606,816773.357606,816773.357606,816773.357606,17702.000000,27080.000000,17702.000000,17702.000000,17702.000000,17702.000000
8,411290.596219,391282.729542,411290.596219,411290.596219,411290.596219,411290.596219,7261.000000,19664.000000,7261.000000,7261.000000,7261.000000,7261.000000
4,427639.409379,412722.638078,415409.732508,427653.758257,427638.308064,427639.542559,12408.000000,18582.000000,18581.000000,12406.000000,12403.000000,12408.000000
32768,2480576.997884,2301780.149721,2301777.761220,2410610.398981,2480576.997884,2480576.997884,46807.000000,49841.000000,49841.000000,46807.000000,46807.000000,46807.000000
2048,1892938.103404,1753940.840993,1823116.503157,1892938.774888,1910455.033629,1924181.425328,30093.000000,38097.000000,37910.000000,30093.000000,30093.000000,30093.000000
4096,946214.515320,833960.611353,928306.173033,928192.407141,946213.783475,946216.821239,22614.000000,26055.000000,22614.000000,22614.000000,22614.000000,22614.000000
2,606591.085249,557952.572057,594329.881445,606591.085249,606591.085249,606591.085249,12841.000000,22569.000000,20598.000000,12841.000000,12841.000000,12841.000000
8192,2425280.720966,2019804.546061,1884405.762751,2181944.621666,2425280.475093,2425280.870264,38894.000000,50208.000000,50201.000000,50209.000000,38894.000000,38894.000000
128,1274722.668160,1156979.571476,1274643.670353,1275370.673304,1276368.332703,1274643.195851,21961.000000,33964.000000,21961.000000,21961.000000,21961.000000,21961.000000
32,700353.747608,691793.744591,700358.271008,700360.809532,700358.250208,703583.708809,10998.000000,19844.000000,10998.000000,10998.000000,10997.000000,10383.000000
65536,1737014.631164,1697268.817624,1697268.836921,1737014.631164,1737014.631164,1737014.631164,30847.000000,30847.000000,30847.000000,30847.000000,30847.000000,30847.000000
