frequency,RFDynamic_njobs500_mode0_L2_norm_flow_time,RFDynamic_njobs500_mode1_L2_norm_flow_time,RFDynamic_njobs500_mode2_L2_norm_flow_time,RFDynamic_njobs500_mode4_L2_norm_flow_time,RFDynamic_njobs500_mode8_L2_norm_flow_time,RFDynamic_njobs500_mode16_L2_norm_flow_time,RFDynamic_njobs500_mode0_maximum_flow_time,RFDynamic_njobs500_mode1_maximum_flow_time,RFDynamic_njobs500_mode2_maximum_flow_time,RFDynamic_njobs500_mode4_maximum_flow_time,RFDynamic_njobs500_mode8_maximum_flow_time,RFDynamic_njobs500_mode16_maximum_flow_time
65536,93569.228638,101886.525699,93567.245102,93732.629863,93753.534157,93589.682070,38594.000000,38554.000000,38568.000000,38572.000000,38591.000000,38579.000000
16384,175299.700134,175253.052250,188219.810870,175224.390446,175205.130590,175273.705398,24426.000000,24426.000000,24426.000000,24426.000000,24426.000000,24426.000000
4096,120824.308548,120932.643343,121367.861042,120934.467539,120853.472395,120894.100807,22329.000000,22365.000000,22297.000000,22367.000000,22365.000000,22361.000000
64,64892.701585,64711.457030,64691.554742,64700.620190,64797.876863,64759.196598,19703.000000,19703.000000,19703.000000,19703.000000,19703.000000,19703.000000
2,76752.387370,76713.962380,76699.944798,76726.884213,76764.957259,76710.852935,28780.000000,28780.000000,28780.000000,28780.000000,28780.000000,28780.000000
16,84839.849075,84546.051575,84548.469886,84544.175039,84753.612979,84572.545090,26780.000000,26716.000000,26734.000000,26716.000000,26642.000000,26764.000000
256,96742.853255,96755.224123,96693.739880,96768.864259,96765.855486,96740.404227,30529.000000,30526.000000,30495.000000,30529.000000,30549.000000,30449.000000
32,76863.053771,76858.596852,76854.492296,76898.144887,76889.007290,76873.028196,26529.000000,26499.000000,26526.000000,26510.000000,26541.000000,26506.000000
8192,113120.266129,112656.692713,112663.753648,112646.214974,112663.803566,112649.302284,27340.000000,27340.000000,27340.000000,27340.000000,27340.000000,27340.000000
128,87294.324953,87558.040156,87518.254056,87209.624572,87199.604965,87542.610282,28383.000000,28382.000000,28320.000000,28420.000000,28332.000000,28395.000000
32768,346794.812491,346262.731457,346204.351693,346114.108224,346397.106799,346126.705839,40643.000000,40643.000000,40643.000000,40643.000000,40643.000000,40643.000000
4,271124.978209,271092.233764,271099.097064,271097.378315,271120.143685,271005.235796,248549.000000,248549.000000,248549.000000,248549.000000,248549.000000,248549.000000
1024,119200.619726,119034.573053,118911.773092,118896.778670,118947.417269,118901.808998,29361.000000,29412.000000,29400.000000,29384.000000,29395.000000,29270.000000
512,96581.231717,96653.826722,96582.315524,96631.822543,96657.959967,96595.579459,29752.000000,29752.000000,29752.000000,29752.000000,29752.000000,29752.000000
2048,184990.520825,184984.563894,184992.551607,184994.735106,185052.029373,185063.551241,170431.000000,170431.000000,170431.000000,170431.000000,170431.000000,170431.000000
8,99912.835467,99866.901098,99883.555979,99828.815554,99881.037049,99875.168415,39642.000000,39538.000000,39620.000000,39481.000000,39561.000000,39585.000000
