frequency,RFDynamic_njobs500_mode0_L2_norm_flow_time,RFDynamic_njobs500_mode1_L2_norm_flow_time,RFDynamic_njobs500_mode2_L2_norm_flow_time,RFDynamic_njobs500_mode4_L2_norm_flow_time,RFDynamic_njobs500_mode8_L2_norm_flow_time,RFDynamic_njobs500_mode16_L2_norm_flow_time,RFDynamic_njobs500_mode0_maximum_flow_time,RFDynamic_njobs500_mode1_maximum_flow_time,RFDynamic_njobs500_mode2_maximum_flow_time,RFDynamic_njobs500_mode4_maximum_flow_time,RFDynamic_njobs500_mode8_maximum_flow_time,RFDynamic_njobs500_mode16_maximum_flow_time
1024,311028.201660,415775.553812,295558.258455,307220.348882,242261.941089,311042.990988,27167.000000,27148.000000,27179.000000,27178.000000,27179.000000,27168.000000
32768,1357757.280093,726545.974361,794067.183377,869170.991912,925887.377453,1357756.330486,43697.000000,43697.000000,43697.000000,43697.000000,43697.000000,43697.000000
4,99441.217113,129347.406058,100778.491510,99426.659564,99474.860337,99622.151723,15078.000000,14647.000000,15078.000000,15077.000000,15070.000000,15074.000000
8,107766.779506,107042.720280,107166.738870,108160.022249,107942.514178,107973.518624,19402.000000,19402.000000,19402.000000,19402.000000,19402.000000,19402.000000
4096,284085.212348,381818.597302,312186.153851,242256.405610,271895.966278,284156.999685,19903.000000,17253.000000,19903.000000,19903.000000,19902.000000,19903.000000
2,141628.560453,305458.132820,141479.610499,141555.868179,141524.385489,141480.310803,19849.000000,19826.000000,19840.000000,19868.000000,19871.000000,19857.000000
65536,787131.761516,761303.476715,807313.712238,796450.734572,789885.166424,787131.447050,22167.000000,23403.000000,22167.000000,22164.000000,22169.000000,22164.000000
256,181284.904010,493787.406597,213663.050559,210884.973758,181457.493932,181624.720437,28847.000000,28847.000000,28847.000000,28847.000000,28847.000000,28847.000000
16384,509730.413648,536333.770020,563307.097828,529184.415490,632004.573874,509742.431083,26337.000000,21228.000000,21132.000000,21143.000000,26337.000000,26337.000000
64,148596.368314,300075.084847,148688.529541,151276.299981,149122.491590,148731.835382,26068.000000,26057.000000,26070.000000,26061.000000,26070.000000,26071.000000
32,134714.017125,199112.972177,138621.337917,138606.233276,138451.465496,138445.243457,33077.000000,33077.000000,33077.000000,33077.000000,33077.000000,33077.000000
128,170043.439200,362148.930367,169955.059172,169917.738506,170199.603114,170032.923177,25149.000000,25147.000000,25158.000000,25143.000000,25165.000000,25167.000000
8192,261657.180576,734422.212426,525364.233438,261648.744178,261704.760218,262226.346853,36845.000000,36827.000000,36843.000000,36816.000000,36808.000000,36811.000000
2048,278382.673716,870757.634433,868690.289187,278462.912240,278461.846467,278573.433206,27403.000000,27413.000000,27410.000000,27403.000000,27410.000000,27381.000000
512,236030.478850,536879.602139,416650.237385,411717.947395,233368.324747,236065.982632,29673.000000,29688.000000,29700.000000,29707.000000,29698.000000,29701.000000
16,114440.540579,194950.012606,114432.166496,109322.353890,114438.776510,108809.737873,18601.000000,18598.000000,18601.000000,18590.000000,18594.000000,18598.000000
