frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time,RFDynamic_njobs100_mode1_maximum_flow_time,RFDynamic_njobs100_mode2_maximum_flow_time,RFDynamic_njobs100_mode3_maximum_flow_time,RFDynamic_njobs100_mode4_maximum_flow_time,RFDynamic_njobs100_mode5_maximum_flow_time,RFDynamic_njobs100_mode6_maximum_flow_time
8,41757.240737,31820.339250,31786.536285,33016.102117,33651.035229,31787.095400,7051.000000,7051.000000,7051.000000,7051.000000,7051.000000,7051.000000
256,132996.296813,80292.033347,35103.322108,35101.599864,35439.344365,35092.726782,10292.000000,10327.000000,10327.000000,10319.000000,10322.000000,10299.000000
16,108840.552580,32936.908052,32883.205212,32877.242311,32891.374538,32882.351026,13749.000000,13749.000000,13749.000000,13749.000000,13749.000000,13749.000000
16384,370886.240314,96389.589827,96413.189570,96461.204865,96378.412474,96406.431124,33286.000000,33286.000000,33286.000000,33286.000000,33286.000000,33286.000000
32768,105393.623773,48620.034461,48602.411761,48605.217878,48607.814752,48598.009301,12418.000000,12428.000000,12410.000000,12424.000000,12418.000000,12403.000000
8192,430097.101999,91209.827875,91190.315116,91242.145662,91243.779859,91228.204208,32035.000000,29908.000000,29908.000000,29908.000000,29908.000000,29908.000000
2,61316.498367,33428.746432,33264.850308,33268.101764,33263.779280,33268.700831,24493.000000,24493.000000,24493.000000,24493.000000,24493.000000,24493.000000
1024,525171.811012,79892.392229,51866.204459,51720.332172,51823.243579,51806.256823,32553.000000,27220.000000,27119.000000,27073.000000,27216.000000,27192.000000
2048,148747.254149,49130.058793,45982.494278,46732.142386,46754.206784,45970.244452,18954.000000,18954.000000,18954.000000,18954.000000,18954.000000,18954.000000
4096,47478.623895,45812.344461,45811.671613,45881.307272,45806.278030,45812.600308,6827.000000,6828.000000,6828.000000,6817.000000,6804.000000,6820.000000
128,312805.951221,57719.382074,57707.358179,57696.069788,57706.776275,57660.429378,29246.000000,29246.000000,29246.000000,29246.000000,29246.000000,29246.000000
32,560704.630463,87508.670856,87619.438043,87491.140712,87503.438247,87500.850962,49678.000000,43524.000000,43643.000000,43505.000000,43612.000000,43611.000000
512,682565.633341,328313.237450,79517.880285,79506.829084,79504.825476,79526.422609,36070.000000,36145.000000,36092.000000,36088.000000,36128.000000,36144.000000
65536,69906.238320,66646.957492,66642.234829,66640.747490,66849.210594,66648.051142,19201.000000,19191.000000,19185.000000,19209.000000,19197.000000,19198.000000
64,3013672.340720,261347.715358,261268.984774,261351.395667,261242.207497,261320.625525,196558.000000,196558.000000,196558.000000,196558.000000,196558.000000,196558.000000
4,1953885.795441,110457.549846,110487.277430,110449.693137,902983.034043,110427.094515,101828.000000,98922.000000,98922.000000,98922.000000,98922.000000,98922.000000
