frequency,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time,RFDynamic_njobs100_mode1_maximum_flow_time,RFDynamic_njobs100_mode2_maximum_flow_time,RFDynamic_njobs100_mode3_maximum_flow_time,RFDynamic_njobs100_mode4_maximum_flow_time,RFDynamic_njobs100_mode5_maximum_flow_time,RFDynamic_njobs100_mode6_maximum_flow_time
8,201462.945241,206742.278702,211160.409651,210787.814432,211008.247291,211895.633681,5556.000000,5382.000000,5382.000000,5382.000000,5382.000000,5382.000000
4,455163.851765,471539.028228,487862.226813,496853.959363,496692.094512,496853.959363,8861.000000,7306.000000,7306.000000,7306.000000,7306.000000,7306.000000
2,531516.895343,540047.303494,559163.417662,592042.461676,615184.899791,615576.839784,13810.000000,13810.000000,13805.000000,13811.000000,12346.000000,12346.000000
512,1043008.780876,1052483.245649,1050688.299094,1109415.900275,1160803.718846,1215175.180179,20603.000000,22802.000000,22802.000000,20603.000000,20603.000000,20603.000000
2048,455445.536236,470664.151131,452197.733170,432115.804466,464345.236899,538860.577809,11726.000000,11726.000000,11726.000000,11726.000000,11726.000000,11726.000000
16,693654.424430,687352.112444,753962.037649,756121.918682,760896.356583,760970.014068,13653.000000,13653.000000,12135.000000,12135.000000,12135.000000,12135.000000
64,703565.695404,711212.339958,745612.978895,764184.502099,796328.182275,797074.989867,14155.000000,14158.000000,14161.000000,13839.000000,11665.000000,11665.000000
65536,906298.257839,886144.245238,927767.145543,961124.192195,1030956.702265,1086097.505980,23650.000000,23650.000000,23650.000000,23650.000000,23650.000000,23650.000000
16384,1190403.720885,1177150.013228,1191763.798806,1245408.083016,1306093.203069,1310152.814641,26082.000000,26082.000000,26081.000000,24738.000000,23814.000000,23814.000000
1024,764824.030019,761942.942769,792424.689819,833166.025160,911321.792840,936511.514585,17874.000000,17879.000000,17878.000000,17313.000000,17879.000000,17313.000000
32,1110756.869522,1153862.355705,1190473.316457,1217433.454389,1233746.760975,1233571.201096,19076.000000,18115.000000,18115.000000,18115.000000,18115.000000,18115.000000
32768,2538876.675572,2483135.594448,2439732.440590,2426554.297519,2383012.286492,1679056.193644,43429.000000,43429.000000,43429.000000,43429.000000,43429.000000,43429.000000
128,1051702.315228,1117463.304938,1147723.488718,1181204.979174,1200392.907060,1208919.784835,20148.000000,20181.000000,19415.000000,19420.000000,19420.000000,19420.000000
8192,1224006.102555,1192922.391527,1214116.438426,1235074.534842,1357703.663164,1444742.534854,25851.000000,25851.000000,25851.000000,25851.000000,25851.000000,25851.000000
4096,1306521.600529,1295381.598142,1402335.990400,1419577.349164,1594078.009798,1679350.674150,34025.000000,34025.000000,33634.000000,33634.000000,33634.000000,33634.000000
256,1487467.769687,1497977.417738,1545847.983122,1612131.012592,1681138.109941,1683142.817723,29834.000000,29834.000000,28897.000000,28897.000000,28897.000000,28897.000000
