frequency,RFDynamic_njobs25_mode0_L2_norm_flow_time,RFDynamic_njobs25_mode1_L2_norm_flow_time,RFDynamic_njobs25_mode2_L2_norm_flow_time,RFDynamic_njobs25_mode4_L2_norm_flow_time,RFDynamic_njobs25_mode8_L2_norm_flow_time,RFDynamic_njobs25_mode16_L2_norm_flow_time,RFDynamic_njobs25_mode0_maximum_flow_time,RFDynamic_njobs25_mode1_maximum_flow_time,RFDynamic_njobs25_mode2_maximum_flow_time,RFDynamic_njobs25_mode4_maximum_flow_time,RFDynamic_njobs25_mode8_maximum_flow_time,RFDynamic_njobs25_mode16_maximum_flow_time
1024,32895.129442,502954.870784,471432.576850,396392.810814,324024.007077,232732.270285,10464.000000,15626.000000,15626.000000,15596.000000,14631.000000,15119.000000
128,26929.993483,415153.187029,356317.944256,258285.804939,178001.319445,70966.831717,13438.000000,13616.000000,13770.000000,13438.000000,13438.000000,13438.000000
16384,104141.601346,1617399.618341,1503433.377740,1366029.046687,1222037.018018,1005438.785278,45846.000000,47797.000000,47797.000000,47797.000000,47797.000000,47797.000000
16,42405.614404,1001670.587526,820537.793573,657704.066254,386742.387297,42421.737859,18468.000000,26075.000000,25579.000000,26067.000000,24316.000000,18443.000000
2048,40861.996708,489925.130890,428645.156260,383895.481488,347764.217824,235453.836469,14782.000000,14782.000000,14782.000000,14782.000000,14782.000000,14777.000000
256,45492.129605,1950784.014603,1694793.447747,1319160.686798,1034138.730939,510059.671843,33573.000000,35003.000000,34555.000000,33573.000000,33573.000000,33573.000000
2,55072.269964,1957269.754279,1686618.478255,1105376.390294,629941.652735,237118.290634,30801.000000,48774.000000,48486.000000,47400.000000,30518.000000,30801.000000
32768,578823.459195,1343943.617347,1326941.617230,1313701.214359,1301854.824107,1285967.850301,27014.000000,37606.000000,37606.000000,37606.000000,37606.000000,37606.000000
32,38873.515264,616233.831521,537187.300790,432981.251767,294093.790271,159419.992316,16384.000000,20971.000000,20610.000000,19787.000000,20610.000000,16384.000000
4096,48397.830695,1162411.965984,992488.225642,834994.755021,773538.936071,518278.307990,29450.000000,32111.000000,32111.000000,32036.000000,31838.000000,29450.000000
4,43644.544229,883472.068882,710433.257454,545776.228701,355891.689668,44209.796120,26275.000000,27708.000000,27607.000000,27860.000000,26275.000000,26275.000000
512,26355.816189,202999.914059,168642.461432,126571.467164,59377.084713,34546.387655,8443.000000,8344.000000,8411.000000,8439.000000,8440.000000,8433.000000
64,58491.850860,1534529.301818,1402647.667122,1215805.334802,904669.202504,456220.632263,37857.000000,39095.000000,38324.000000,38000.000000,37857.000000,37857.000000
65536,2762127.002602,2982763.188780,2472689.519699,2090769.425399,1803959.863876,1574333.905552,69807.000000,71432.000000,71285.000000,70711.000000,69807.000000,69807.000000
8192,172688.653553,3796194.769247,3385053.557480,3044514.529472,2889996.267289,2850539.896855,62505.000000,70852.000000,70302.000000,69966.000000,69932.000000,69932.000000
8,42624.789524,1309842.322735,1080969.095641,832225.395243,511392.613416,296939.747877,25510.000000,33581.000000,33930.000000,30886.000000,26199.000000,25510.000000
