frequency,RFDynamic_njobs200_mode0_L2_norm_flow_time,RFDynamic_njobs200_mode1_L2_norm_flow_time,RFDynamic_njobs200_mode2_L2_norm_flow_time,RFDynamic_njobs200_mode4_L2_norm_flow_time,RFDynamic_njobs200_mode8_L2_norm_flow_time,RFDynamic_njobs200_mode16_L2_norm_flow_time,RFDynamic_njobs200_mode0_maximum_flow_time,RFDynamic_njobs200_mode1_maximum_flow_time,RFDynamic_njobs200_mode2_maximum_flow_time,RFDynamic_njobs200_mode4_maximum_flow_time,RFDynamic_njobs200_mode8_maximum_flow_time,RFDynamic_njobs200_mode16_maximum_flow_time
1024,150997.987139,1157285.042267,713946.966710,150959.772661,151042.102534,163762.591076,39843.000000,49514.000000,47440.000000,39843.000000,39843.000000,39843.000000
128,144099.781586,1105761.447235,144113.423736,144032.535706,144181.289188,144103.770162,40408.000000,40731.000000,40411.000000,40369.000000,40411.000000,40411.000000
16384,54845.468309,54851.700256,54884.015988,54872.061370,54878.198103,55368.222005,17727.000000,17727.000000,17727.000000,17727.000000,17727.000000,17727.000000
16,100363.273925,1017567.711544,893464.467088,100540.434901,100491.326904,100545.488313,69982.000000,69982.000000,69982.000000,69982.000000,69982.000000,69982.000000
2048,92195.477503,234708.362853,213675.859558,92181.961055,92190.736449,92204.977653,19998.000000,19996.000000,19981.000000,19996.000000,19999.000000,19996.000000
256,81868.014102,308022.462955,257544.620598,186736.807124,81885.272027,81857.080940,24300.000000,24300.000000,24300.000000,24300.000000,24300.000000,24300.000000
2,48869.799314,49633.537130,51845.735765,48857.754819,48860.313087,48853.753960,9701.000000,9701.000000,9701.000000,9701.000000,9701.000000,9701.000000
32768,1366750.659695,978334.646588,990059.581331,1004570.328344,1108471.707168,1206096.661197,23718.000000,27209.000000,27210.000000,27204.000000,26300.000000,23718.000000
32,49295.224312,161653.334423,49596.228778,49275.634405,49287.854051,49504.124778,11843.000000,11840.000000,11835.000000,11830.000000,11836.000000,11844.000000
4096,96219.606983,86593.745294,89107.329278,93639.737371,96226.281945,94123.284516,19578.000000,19578.000000,19578.000000,19578.000000,19578.000000,19578.000000
4,74473.178407,89212.922046,74605.430365,74518.142207,74477.600606,74461.752867,40705.000000,40705.000000,40705.000000,40705.000000,40705.000000,40705.000000
512,66375.713171,151976.477081,120431.260190,115457.530213,82773.615229,66424.251159,13636.000000,13636.000000,13636.000000,13636.000000,13636.000000,13636.000000
64,57946.335484,200949.202382,72355.202667,57915.013485,57956.027780,57934.151543,18229.000000,19234.000000,18229.000000,18229.000000,18229.000000,18229.000000
65536,140253.667649,1738115.698674,140827.351733,140891.050812,140880.059398,140867.566760,126131.000000,126131.000000,126131.000000,126131.000000,126131.000000,126131.000000
8192,266996.570828,786212.247499,706869.477253,759324.003784,837713.042568,331672.615522,33014.000000,33000.000000,32991.000000,33010.000000,32981.000000,33014.000000
8,44660.433406,182591.747774,52898.977637,43847.741242,43791.951270,43844.220326,15671.000000,13096.000000,15671.000000,15671.000000,15671.000000,15671.000000
