Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time
24,4.073000,262144.000000,260779.320984,45474.063773,45246.151936,45331.608057,45485.477441,45272.666014
24,5.649000,4096.000000,997237.864675,654175.674204,276018.124675,275997.402029,273628.674223,273642.773442
24,4.639000,32768.000000,567540.883786,147676.096539,148651.950354,148544.254436,147764.180007,147701.783595
24,7.918000,512.000000,1590527.039802,1317821.625786,737021.650158,735861.330457,741895.134700,735886.642089
24,30.000000,15.000000,3752431.452067,3752431.452067,3752431.452067,3752431.452067,3752431.452067,3752431.452067
24,30.000000,12.000000,3880721.374972,3880721.374972,3880721.374972,3880721.374972,3880721.374972,3880721.374972
24,30.000000,18.000000,3874092.114918,3874092.114918,3874092.114918,3874092.114918,3874092.114918,3874092.114918
24,30.000000,9.000000,3782528.742634,3782528.742634,3782528.742634,3782528.742634,3782528.742634,3782528.742634
24,30.000000,6.000000,3571608.671109,3571608.671109,3571608.671109,3571608.671109,3571608.671109,3571608.671109
24,16.772000,64.000000,3841127.463191,3841127.463191,3841127.463191,3841127.463191,3841127.463191,3841127.463191
