Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,RFDynamic_njobs100_mode1_L2_norm_flow_time,RFDynamic_njobs100_mode1_maximum_flow_time,RFDynamic_njobs100_mode2_L2_norm_flow_time,RFDynamic_njobs100_mode2_maximum_flow_time,RFDynamic_njobs100_mode3_L2_norm_flow_time,RFDynamic_njobs100_mode3_maximum_flow_time,RFDynamic_njobs100_mode4_L2_norm_flow_time,RFDynamic_njobs100_mode4_maximum_flow_time,RFDynamic_njobs100_mode5_L2_norm_flow_time,RFDynamic_njobs100_mode5_maximum_flow_time,RFDynamic_njobs100_mode6_L2_norm_flow_time,RFDynamic_njobs100_mode6_maximum_flow_time
34,30.000000,6.000000,22466.213077,896.000000,22466.213077,896.000000,22466.213077,896.000000,22466.213077,896.000000,22466.213077,896.000000,22466.213077,896.000000
34,30.000000,15.000000,24092.361673,880.000000,24092.361673,880.000000,24092.361673,880.000000,24092.361673,880.000000,24092.361673,880.000000,24092.361673,880.000000
34,30.000000,12.000000,22443.930650,893.000000,22443.930650,893.000000,22443.930650,893.000000,22443.930650,893.000000,22443.930650,893.000000,22443.930650,893.000000
34,30.000000,18.000000,32406.490816,1218.000000,32406.490816,1218.000000,32406.490816,1218.000000,32406.490816,1218.000000,32406.490816,1218.000000,32406.490816,1218.000000
34,16.772000,64.000000,24227.010340,873.000000,24227.010340,873.000000,24227.010340,873.000000,24227.010340,873.000000,24227.010340,873.000000,24227.010340,873.000000
34,30.000000,9.000000,22478.358325,954.000000,22478.358325,954.000000,22478.358325,954.000000,22478.358325,954.000000,22478.358325,954.000000,22478.358325,954.000000
34,4.639000,32768.000000,115024.573861,47013.000000,58981.359038,47013.000000,58996.382948,47013.000000,82562.025787,47013.000000,88828.221574,47013.000000,58977.909466,47013.000000
34,5.649000,4096.000000,44340.343661,7251.000000,40495.769335,7238.000000,33093.448687,7232.000000,33158.094472,7250.000000,33158.830619,7236.000000,33103.759303,7244.000000
34,4.073000,262144.000000,172629.097501,47221.000000,56611.503398,47221.000000,56614.649650,47221.000000,56582.021915,47221.000000,171114.308262,47221.000000,56601.153478,47221.000000
34,7.918000,512.000000,43247.938240,4546.000000,40243.357352,4546.000000,40071.891620,4546.000000,40086.082049,4546.000000,40089.727138,4546.000000,40069.681082,4546.000000
