frequency,RFDynamic_njobs25_mode0_L2_norm_flow_time,RFDynamic_njobs25_mode1_L2_norm_flow_time,RFDynamic_njobs25_mode2_L2_norm_flow_time,RFDynamic_njobs25_mode4_L2_norm_flow_time,RFDynamic_njobs25_mode8_L2_norm_flow_time,RFDynamic_njobs25_mode16_L2_norm_flow_time,RFDynamic_njobs25_mode0_maximum_flow_time,RFDynamic_njobs25_mode1_maximum_flow_time,RFDynamic_njobs25_mode2_maximum_flow_time,RFDynamic_njobs25_mode4_maximum_flow_time,RFDynamic_njobs25_mode8_maximum_flow_time,RFDynamic_njobs25_mode16_maximum_flow_time
16,445912.119369,445912.119369,445912.119369,445912.119369,445912.119369,445912.119369,9818.000000,9818.000000,9818.000000,9818.000000,9818.000000,9818.000000
4,335998.306256,335998.306256,335998.306256,335998.306256,335998.306256,335998.306256,7350.000000,7350.000000,7350.000000,7350.000000,7350.000000,7350.000000
65536,1361705.590996,1361705.590996,1361705.590996,1361705.590996,1361705.590996,1361705.590996,27600.000000,27600.000000,27600.000000,27600.000000,27600.000000,27600.000000
2,404474.313256,404474.313256,404474.313256,404474.313256,404474.313256,404474.313256,7750.000000,7750.000000,7750.000000,7750.000000,7750.000000,7750.000000
32,796954.012057,796954.012057,796954.012057,796954.012057,796954.012057,796954.012057,12769.000000,12769.000000,12769.000000,12769.000000,12769.000000,12769.000000
64,820878.447452,820878.447452,820878.447452,820878.447452,820878.447452,820878.447452,14943.000000,14943.000000,14943.000000,14943.000000,14943.000000,14943.000000
256,723327.446090,723327.446090,723327.446090,723327.446090,723327.446090,723327.446090,14488.000000,14488.000000,14488.000000,14488.000000,14488.000000,14488.000000
8,500386.324767,500386.324767,500386.324767,500386.324767,500386.324767,500386.324767,10059.000000,10059.000000,10059.000000,10059.000000,10059.000000,10059.000000
8192,1449857.975405,1449857.975405,1449857.975405,1449857.975405,1449857.975405,1449857.975405,21962.000000,21962.000000,21962.000000,21962.000000,21962.000000,21962.000000
2048,932081.757813,932081.757813,932081.757813,932081.757813,932081.757813,932081.757813,14756.000000,14756.000000,14756.000000,14756.000000,14756.000000,14756.000000
1024,1090923.440724,1090923.440724,1090923.440724,1090923.440724,1090923.440724,1090923.440724,17073.000000,17073.000000,17073.000000,17073.000000,17073.000000,17073.000000
128,705169.669421,705169.669421,705169.669421,705169.669421,705169.669421,705169.669421,12957.000000,12957.000000,12957.000000,12957.000000,12957.000000,12957.000000
4096,1440766.950711,1440766.950711,1440766.950711,1440766.950711,1440766.950711,1440766.950711,24200.000000,24200.000000,24200.000000,24200.000000,24200.000000,24200.000000
16384,1376854.528152,1376854.528152,1376854.528152,1376854.528152,1376854.528152,1376854.528152,20826.000000,20826.000000,20826.000000,20826.000000,20826.000000,20826.000000
512,1223113.974069,1223113.974069,1223113.974069,1223113.974069,1223113.974069,1223113.974069,19553.000000,19553.000000,19553.000000,19553.000000,19553.000000,19553.000000
32768,3524688.924415,3524688.924415,3524688.924415,3524688.924415,3524688.924415,3524688.924415,54925.000000,54925.000000,54925.000000,54925.000000,54925.000000,54925.000000
